scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1556,535,bakkerij
bier-wijn-aperitieven,2991,1767,bier-wijn-aperitieven
borrel-chips-snacks,2669,1272,borrel-chips-snacks
diepvries,1234,314,diepvries
drogisterij,2991,2000,drogisterij
frisdrank-sappen-water,1989,830,frisdrank-sappen-water
fruit-verse-sappen,565,260,fruit-verse-sappen
gezondheid-en-sport,1330,289,gezondheid-en-sport
glutenvrij,402,176,glutenvrij
groente-aardappelen,1096,298,groente-aardappelen
huishouden,1465,580,huishouden
kaas,1168,641,kaas
koek-snoep-chocolade,2862,1018,koek-snoep-chocolade
koffie-thee,1136,443,koffie-thee
koken-tafelen-vrije-tijd,1788,1001,koken-tafelen-vrije-tijd
maaltijden-salades,789,426,maaltijden-salades
ontbijtgranen-beleg,2229,1043,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2018,805,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1312,soepen-sauzen-kruiden-olie
tussendoortjes,1262,600,tussendoortjes
vegetarisch-vegan-en-plantaardig,584,241,vegetarisch-vegan-en-plantaardig
vis,619,305,vis
vlees,1275,658,vlees
vleeswaren,1046,594,vleeswaren
zuivel-eieren,2001,917,zuivel-eieren
