scraped_aisle,items_found,aisle_eng
bakkerij,1199,bakery
bier-wijn-aperitieven,2237,beer-wine aperitifs
borrel-chips-snacks,1333,drinks-chips-snacks
diepvries,986,freezer
drogisterij,1998,drugstore
frisdrank-sappen-water,1446,soft drinks-juices-water
fruit-verse-sappen,422,fresh fruit juices
gezondheid-en-sport,1242,health-and-sports
glutenvrij,235,gluten-free
groente-aardappelen,989,vegetable potatoes
huishouden,1154,households
kaas,689,cheese
koek-snoep-chocolade,2273,cookie-candy-chocolate
koffie-thee,960,coffee-tea
koken-tafelen-vrije-tijd,922,cooking-dining-free-time
maaltijden-salades,536,meals-salads
ontbijtgranen-beleg,1351,breakfast cereal toppings
pasta-rijst-wereldkeuken,1484,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,2452,soups-sauces-herbs-oil
tussendoortjes,972,snacks
vegetarisch-vegan-en-plantaardig,495,vegetarian-vegan-and-plant-based
vis,382,fish
vlees,669,meat
vleeswaren,657,cold cuts
zuivel-eieren,1458,dairy eggs
