title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at
Zespri Kiwi gold,3.99,5.79,31,Lidl Plus (-31%),Member Deal,,https://www.lidl.nl/p/zespri-kiwi-gold/p10023661,2026-02-22
Alesto Walnoten,1.99,2.89,31,Lidl Plus (-31%),Member Deal,,https://www.lidl.nl/p/alesto-walnoten/p10023662,2026-02-22
Oasis,2.95,2.95,0,,Standard,2 liter,https://www.lidl.nl/p/oasis/p10023663,2026-02-22
Maribel 100% pindakaas,3.99,3.99,0,,Standard,1 kilo,https://www.lidl.nl/p/maribel-100-pindakaas/p10023664,2026-02-22
Unox soep in zak,1.99,4.39,55,,Standard,570 ml,https://www.lidl.nl/p/unox-soep-in-zak/p10023665,2026-02-22
Floralys Toiletpapier 4-laags,6.89,6.89,0,,Standard,16 rollen,https://www.lidl.nl/p/floralys-toiletpapier-4-laags/p10023666,2026-02-22
Milner kaasplakken,1.44,1.44,0,,Standard,150 g,https://www.lidl.nl/p/milner-kaasplakken/p10023667,2026-02-22
Orangina,1.99,1.99,0,,Standard,"1,5 liter",https://www.lidl.nl/p/orangina/p10023668,2026-02-22
Olijfolie extra vierge,7.29,9.29,22,Lidl Plus (-â¬2.-),Member Deal,,https://www.lidl.nl/p/olijfolie-extra-vierge/p10023669,2026-02-22
Knorr Wereldgerechten,1.99,1.99,0,,Standard,228-326 g,https://www.lidl.nl/p/knorr-wereldgerechten/p10023670,2026-02-22
Handsinaasappelen,1.69,2.29,26,,Standard,Per kg,https://www.lidl.nl/p/handsinaasappelen/p10023671,2026-02-22
Bio aardappelen kruimig,2.49,4.89,49,,Standard,3 kg,https://www.lidl.nl/p/bio-aardappelen-kruimig/p10023672,2026-02-22
Kastanje champignons,1.19,1.49,20,,Standard,250 g,https://www.lidl.nl/p/kastanje-champignons/p10023673,2026-02-22
Bio kruiden in pot,1.29,1.99,35,Lidl Plus (-35%),Member Deal,,https://www.lidl.nl/p/bio-kruiden-in-pot/p10023674,2026-02-22
Roma tomaten,1.89,2.49,24,,Standard,750 g,https://www.lidl.nl/p/roma-tomaten/p10023675,2026-02-22
Nectarines,1.99,2.79,29,,Standard,500 g,https://www.lidl.nl/p/nectarines/p10023676,2026-02-22
Conference peren,1.29,1.79,28,,Standard,Per kg,https://www.lidl.nl/p/conference-peren/p10023677,2026-02-22
MiniÂ krieltjes,0.74,0.74,0,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/mini-krieltjes/p10023678,2026-02-22
Bloemkool- of broccoliroosjes,1.72,2.29,25,Lidl Plus (-24%),Member Deal,,https://www.lidl.nl/p/bloemkool-of-broccoliroosjes/p10023679,2026-02-22
Nasi/bami- of macaroni/spaghetti groenten,1.29,1.69,24,Lidl Plus (-23%),Member Deal,,https://www.lidl.nl/p/nasi-bami-of-macaroni-spaghetti-groenten/p10023680,2026-02-22
Sesam volkoren heel,1.49,1.99,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/sesam-volkoren-heel/p10023681,2026-02-22
Pecanbroodje,0.49,0.69,29,Lidl Plus (-28%),Member Deal,,https://www.lidl.nl/p/pecanbroodje/p10023682,2026-02-22
Volkorenbol,0.29,0.69,58,Lidl Plus (-57%),Member Deal,,https://www.lidl.nl/p/volkorenbol/p10023683,2026-02-22
Donuts,1.99,1.99,0,,Standard,4 donuts per pak,https://www.lidl.nl/p/donuts/p10023684,2026-02-22
Witte bollen,1.32,1.32,0,,Standard,10+2 gratis bollen per verpakking,https://www.lidl.nl/p/witte-bollen/p10023685,2026-02-22
Appel-karamel cake,2.99,2.99,0,,Standard,350 g,https://www.lidl.nl/p/appel-karamel-cake/p10023686,2026-02-22
Kabeljauwfilet,11.99,11.99,0,,Standard,520 g,https://www.lidl.nl/p/kabeljauwfilet/p10023687,2026-02-22
Kipchampignonschnitzel,5.49,5.49,0,,Standard,500 g,https://www.lidl.nl/p/kipchampignonschnitzel/p10023688,2026-02-22
Diverse kleinverpakkingen vlees,5.49,5.49,0,,Standard,200-250 g,https://www.lidl.nl/p/diverse-kleinverpakkingen-vlees/p10023689,2026-02-22
Zalmfilets op huid,16.99,16.99,0,,Standard,,https://www.lidl.nl/p/zalmfilets-op-huid/p10023690,2026-02-22
Braadworsten,1.99,3.19,38,Lidl Plus (-37%),Member Deal,,https://www.lidl.nl/p/braadworsten/p10023691,2026-02-22
Runderriblappen,8.49,10.49,19,Lidl Plus (-â¬2.-),Member Deal,,https://www.lidl.nl/p/runderriblappen/p10023692,2026-02-22
Sis kebab,5.49,5.49,0,,Standard,,https://www.lidl.nl/p/sis-kebab/p10023693,2026-02-22
Plantaardige burgers,1.18,1.18,0,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/plantaardige-burgers/p10023694,2026-02-22
Pepersteak,4.99,4.99,0,,Standard,,https://www.lidl.nl/p/pepersteak/p10023695,2026-02-22
Senseo koffiepads,4.99,7.1,30,,Standard,16-36 pads per pak,https://www.lidl.nl/p/senseo-koffiepads/p10023696,2026-02-22
Vlugge Japie,1.34,1.34,0,,Standard,6+1 stuks per verpakking,https://www.lidl.nl/p/vlugge-japie/p10023697,2026-02-22
Diepvriesfruit,4.19,4.19,0,,Standard,750-1000 g,https://www.lidl.nl/p/diepvriesfruit/p10023698,2026-02-22
Zonnatura thee,2.49,2.49,0,,Standard,40 zakjes per pak. 54-64 g,https://www.lidl.nl/p/zonnatura-thee/p10023699,2026-02-22
ProteÃ¯nedrink,0.99,1.25,21,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/proteinedrink/p10023700,2026-02-22
Friesche Vlag halvamel,1.19,1.58,25,,Standard,455 ml,https://www.lidl.nl/p/friesche-vlag-halvamel/p10023701,2026-02-22
Jack Linkâs Mr Beast Beef Jerky,3.99,3.99,0,Bekend van YouTube!,Standard,60 g,https://www.lidl.nl/p/jack-link-s-mr-beast-beef-jerky/p10023702,2026-02-22
Vlaamse friet of kreukelfriet,1.49,2.28,35,Lidl Plus (-34%),Member Deal,,https://www.lidl.nl/p/vlaamse-friet-of-kreukelfriet/p10023703,2026-02-22
Milbona Mozzarella klassiek of geraspt,1.59,1.59,0,,Standard,250-500 g,https://www.lidl.nl/p/milbona-mozzarella-klassiek-of-geraspt/p10023704,2026-02-22
Gerookte zalm,6.79,6.79,0,,Standard,300 g,https://www.lidl.nl/p/gerookte-zalm/p10023705,2026-02-22
chef select Diverse pastaâs,1.12,1.12,0,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/chef-select-diverse-pasta-s/p10023706,2026-02-22
Rundvleesslaatje,2.79,2.79,0,,Standard,4 x 140 g,https://www.lidl.nl/p/rundvleesslaatje/p10023707,2026-02-22
Extra chew kauwgom,2.49,2.49,0,,Standard,,https://www.lidl.nl/p/extra-chew-kauwgom/p10023708,2026-02-22
Hero Bâtween,1.49,1.49,0,,Standard,120-150 g,https://www.lidl.nl/p/hero-b-tween/p10023709,2026-02-22
Gevulde koeken,2.69,2.69,0,,Standard,600 g,https://www.lidl.nl/p/gevulde-koeken/p10023710,2026-02-22
Vegan chocoladereep,1.99,2.69,26,,Standard,180 g,https://www.lidl.nl/p/vegan-chocoladereep/p10023711,2026-02-22
LU Bastogne koeken,1.59,1.95,18,,Standard,260 g,https://www.lidl.nl/p/lu-bastogne-koeken/p10023712,2026-02-22
Milka Hazelnoot big size,2.99,4.19,29,,Standard,250 g,https://www.lidl.nl/p/milka-hazelnoot-big-size/p10023713,2026-02-22
Red Band of Venco,1.99,1.99,0,,Standard,200-235 g,https://www.lidl.nl/p/red-band-of-venco/p10023714,2026-02-22
Grolsch 0.0%,2.69,2.69,0,,Standard,"6 x 0,33 l",https://www.lidl.nl/p/grolsch-0-0/p10023715,2026-02-22
Kordaat Premium pils,10.99,10.99,0,,Standard,"18 x 0,5 l",https://www.lidl.nl/p/kordaat-premium-pils/p10023716,2026-02-22
"Kordaat Grolsch Kanon, Grolsch Gladiator of Grolsch",1.39,1.39,0,,Standard,"0,5 l / 6 x 0,5 l",https://www.lidl.nl/p/kordaat-grolsch-kanon-grolsch-gladiator-of-grolsch/p10023717,2026-02-22
Layâs chips,1.49,1.49,0,,Standard,185-200 g,https://www.lidl.nl/p/lay-s-chips/p10023718,2026-02-22
GrÃ¼ner Veltliner Kamptal Premium,4.71,6.29,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/gruner-veltliner-kamptal-premium/p10023719,2026-02-22
Diverse Zuid-Afrikaanse wijnen,2.61,2.61,0,Lidl Plus,Member Deal,,https://www.lidl.nl/p/diverse-zuid-afrikaanse-wijnen/p10023720,2026-02-22
Gillette,10.99,18.49,41,,Standard,Per stuk,https://www.lidl.nl/p/gillette/p10023721,2026-02-22
Hondenbrokken,12.99,12.99,0,,Standard,13 kilo,https://www.lidl.nl/p/hondenbrokken/p10023722,2026-02-22
Groene kamerplant in design pot,4.99,18.49,73,,Standard,Per stuk,https://www.lidl.nl/p/groene-kamerplant-in-design-pot/p10023723,2026-02-22
Brem,3.99,3.99,0,,Standard,Per stuk,https://www.lidl.nl/p/brem/p10023724,2026-02-22
Keramische pot,3.99,3.99,0,,Standard,Per stuk,https://www.lidl.nl/p/keramische-pot/p10023725,2026-02-22
Primula,2.99,2.99,0,,Standard,Per stuk,https://www.lidl.nl/p/primula/p10023726,2026-02-22
Tulpen,1.99,2.99,33,,Standard,,https://www.lidl.nl/p/tulpen/p10023729,2026-02-22
Hyacinthen,0.79,0.79,0,,Standard,,https://www.lidl.nl/p/hyacinthen/p10023730,2026-02-22
Fanta orange,3.49,5.59,38,Lidl Plus (-37%),Member Deal,,https://www.lidl.nl/p/fanta-orange/p10023742,2026-02-22
Haribo starmix of kikkers,1.59,2.02,21,Lidl Plus (-21%),Member Deal,,https://www.lidl.nl/p/haribo-starmix-of-kikkers/p10023743,2026-02-22
Heineken,1.0,1.33,25,Lidl Plus (-24%),Member Deal,,https://www.lidl.nl/p/heineken/p10023744,2026-02-22
Wokgarnalen,2.99,4.69,36,Lidl Plus (-36%),Member Deal,,https://www.lidl.nl/p/wokgarnalen/p10023746,2026-02-22
Avocado,0.89,1.19,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/avocado/p10023747,2026-02-22
Pink Lady appels,2.29,3.29,30,Lidl Plus (-30%),Member Deal,,https://www.lidl.nl/p/pink-lady-appels/p10023749,2026-02-22
Hortensia,3.99,3.99,0,,Standard,,https://www.lidl.nl/p/hortensia/p10023732,2026-02-22
Voorjaarsstruik,2.99,2.99,0,,Standard,,https://www.lidl.nl/p/voorjaarsstruik/p10023734,2026-02-22
Mestkorrels of kalk,3.99,3.99,0,,Standard,,https://www.lidl.nl/p/mestkorrels-of-kalk/p10023735,2026-02-22
