scraped_aisle,items_found,bonus_items,title_eng
bakkerij,147,39,bakkerij
bier-wijn-aperitieven,468,346,bier-wijn-aperitieven
borrel-chips-snacks,687,391,borrel-chips-snacks
diepvries,902,297,diepvries
drogisterij,72,59,drogisterij
frisdrank-sappen-water,542,325,frisdrank-sappen-water
gezondheid-en-sport,399,119,gezondheid-en-sport
groente-aardappelen,108,22,groente-aardappelen
koffie-thee,327,164,koffie-thee
koken-tafelen-vrije-tijd,39,5,koken-tafelen-vrije-tijd
maaltijden-salades,180,133,maaltijden-salades
pasta-rijst-wereldkeuken,37,10,pasta-rijst-wereldkeuken
tussendoortjes,38,18,tussendoortjes
vegetarisch-vegan-en-plantaardig,618,250,vegetarisch-vegan-en-plantaardig
vlees,288,168,vlees
zuivel-eieren,939,448,zuivel-eieren
