scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1567,550,bakkerij
bier-wijn-aperitieven,2991,1976,bier-wijn-aperitieven
borrel-chips-snacks,2672,1434,borrel-chips-snacks
diepvries,1236,377,diepvries
drogisterij,2990,2216,drogisterij
frisdrank-sappen-water,2020,1024,frisdrank-sappen-water
fruit-verse-sappen,566,276,fruit-verse-sappen
gezondheid-en-sport,1327,312,gezondheid-en-sport
glutenvrij,402,182,glutenvrij
groente-aardappelen,1128,403,groente-aardappelen
huishouden,1483,992,huishouden
kaas,1170,688,kaas
koek-snoep-chocolade,2854,1089,koek-snoep-chocolade
koffie-thee,1140,549,koffie-thee
koken-tafelen-vrije-tijd,1823,1051,koken-tafelen-vrije-tijd
maaltijden-salades,815,519,maaltijden-salades
ontbijtgranen-beleg,2237,1175,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2012,959,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1422,soepen-sauzen-kruiden-olie
tussendoortjes,1267,648,tussendoortjes
vegetarisch-vegan-en-plantaardig,595,341,vegetarisch-vegan-en-plantaardig
vis,636,346,vis
vlees,1389,769,vlees
vleeswaren,1054,648,vleeswaren
zuivel-eieren,2008,1038,zuivel-eieren
