title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at,title_eng
Goudse belegen stuk kaas,6.49,8.45,23,,Standard,910 g,https://www.lidl.nl/p/goudse-belegen-stuk-kaas/p10034261,2026-09-25,Goudse belegen stuk kaas
SENSEO,4.39,6.98,37,,Standard,16-36 stuks,https://www.lidl.nl/p/senseo/p10034263,2026-09-25,SENSEO
KORDAAT premium pils krat,6.37,8.49,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/kordaat-premium-pils-krat/p10034265,2026-09-25,KORDAAT premium pils krat
Alle soepen in blik,0.99,2.19,55,,Standard,800 ml,https://www.lidl.nl/p/alle-soepen-in-blik/p10034267,2026-09-25,Alle soepen in blik
BEN & JERRY'S,3.49,7.29,52,,Standard,465 ml,https://www.lidl.nl/p/ben-jerry-s/p10034269,2026-09-25,BEN & JERRY'S
Gemengd gehakt,4.49,4.49,0,,Standard,1 kilo,https://www.lidl.nl/p/gemengd-gehakt/p10034433,2026-09-25,Gemengd gehakt
PEPSI of 7-UP,9.99,9.99,0,,Standard,"24 x 0,33 l",https://www.lidl.nl/p/pepsi-of-7-up/p10034271,2026-09-25,PEPSI of 7-UP
ZESPRI Kiwi groen,3.99,5.99,33,Lidl Plus (-33%),Member Deal,,https://www.lidl.nl/p/zespri-kiwi-groen/p10034273,2026-09-25,ZESPRI Kiwi groen
Avocado,0.99,1.29,23,,Standard,Per stuk,https://www.lidl.nl/p/avocado/p10034275,2026-09-25,Avocado
Nederlandse Conference peren,0.99,1.79,45,Lidl Plus (-45%),Member Deal,,https://www.lidl.nl/p/nederlandse-conference-peren/p10034435,2026-09-25,Nederlandse Conference peren
Sperziebonen,0.99,1.49,34,,Standard,500 g,https://www.lidl.nl/p/sperziebonen/p10034277,2026-09-25,Sperziebonen
Aardappelen extra grof,2.49,3.49,29,,Standard,3 kg,https://www.lidl.nl/p/aardappelen-extra-grof/p10034279,2026-09-25,Aardappelen extra grof
Mini komkommers,1.79,2.25,20,,Standard,500 g,https://www.lidl.nl/p/mini-komkommers/p10033107,2026-09-25,Mini komkommers
Andijvie,1.29,1.69,24,Lidl Plus (-24%),Member Deal,,https://www.lidl.nl/p/andijvie/p10034281,2026-09-25,Andijvie
Walnoten honingbroodje,0.39,0.59,34,Lidl Plus (-34%),Member Deal,,https://www.lidl.nl/p/walnoten-honingbroodje/p10034283,2026-09-25,Walnoten honingbroodje
Kaiserbroodje,0.19,0.28,32,Lidl Plus (-32%),Member Deal,,https://www.lidl.nl/p/kaiserbroodje/p10034285,2026-09-25,Kaiserbroodje
Sesam volkoren,1.59,1.99,20,,Standard,800 g,https://www.lidl.nl/p/sesam-volkoren/p10034287,2026-09-25,Sesam volkoren
Kersenpencees,2.49,2.49,0,,Standard,4-pack,https://www.lidl.nl/p/kersenpencees/p10034289,2026-09-25,Kersenpencees
Pizzastengel salami-mozzarella,1.39,1.39,0,,Standard,Per stuk,https://www.lidl.nl/p/pizzastengel-salami-mozzarella/p10034291,2026-09-25,Pizzastengel salami-mozzarella
Boston cream donut,0.79,0.79,0,,Standard,Per stuk,https://www.lidl.nl/p/boston-cream-donut/p10034293,2026-09-25,Boston cream donut
CrÃ¨me brÃ»lÃ©e croissant,0.79,0.79,0,,Standard,Per stuk,https://www.lidl.nl/p/creme-brulee-croissant/p10034295,2026-09-25,CrÃ¨me brÃ»lÃ©e croissant
Party donuts,1.99,1.99,0,,Standard,4-pack,https://www.lidl.nl/p/party-donuts/p10034297,2026-09-25,Party donuts
Zalmfilets op huid,4.79,5.99,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/zalmfilets-op-huid/p10034299,2026-09-25,Zalmfilets op huid
Sukadelappen,1.45,1.45,0,,Standard,Per 100 g,https://www.lidl.nl/p/sukadelappen/p10034301,2026-09-25,Sukadelappen
Pepersteaks,4.99,4.99,0,,Standard,250 g,https://www.lidl.nl/p/pepersteaks/p10034303,2026-09-25,Pepersteaks
Hamlappen,7.59,7.59,0,,Standard,960 g,https://www.lidl.nl/p/hamlappen/p10034305,2026-09-25,Hamlappen
Gepaneerde kipschnitzels,4.49,4.49,0,,Standard,400 g,https://www.lidl.nl/p/gepaneerde-kipschnitzels/p10034307,2026-09-25,Gepaneerde kipschnitzels
Garnalen,1.99,2.69,26,Lidl Plus (-26%),Member Deal,,https://www.lidl.nl/p/garnalen/p10034309,2026-09-25,Garnalen
Gepaneerde gehaktstaaf,3.49,3.49,0,,Standard,400 g,https://www.lidl.nl/p/gepaneerde-gehaktstaaf/p10034311,2026-09-25,Gepaneerde gehaktstaaf
Plantaardige ham- of champignonburger,1.75,2.49,30,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/plantaardige-ham-of-champignonburger/p10034313,2026-09-25,Plantaardige ham- of champignonburger
Goudse jonge kaasplakken 48+,2.99,2.99,0,,Standard,500 g,https://www.lidl.nl/p/goudse-jonge-kaasplakken-48/p10034315,2026-09-25,Goudse jonge kaasplakken 48+
Skyr naturel,2.19,2.19,0,,Standard,1 kilo,https://www.lidl.nl/p/skyr-naturel/p10034317,2026-09-25,Skyr naturel
DANIO romige kwark,1.69,1.69,0,,Standard,450 g,https://www.lidl.nl/p/danio-romige-kwark/p10034319,2026-09-25,DANIO romige kwark
ALMHOF hoekje,0.89,0.89,0,,Standard,150 g,https://www.lidl.nl/p/almhof-hoekje/p10034321,2026-09-25,ALMHOF hoekje
Karnemelk,0.79,0.92,14,Lidl Plus (-14%),Member Deal,,https://www.lidl.nl/p/karnemelk/p10034323,2026-09-25,Karnemelk
WASA,1.29,1.59,19,,Standard,190-260 g,https://www.lidl.nl/p/wasa/p10034325,2026-09-25,WASA
L'OR Koffiecups,4.99,7.69,35,,Standard,20 cups,https://www.lidl.nl/p/l-or-koffiecups/p10034327,2026-09-25,L'OR Koffiecups
Witte scharreleieren,7.49,7.49,0,,Standard,30 eieren,https://www.lidl.nl/p/witte-scharreleieren/p10034329,2026-09-25,Witte scharreleieren
