title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at,title_eng
Kipfilet,9.99,9.99,0,,Standard,900 g,https://www.lidl.nl/p/kipfilet/p10033503,2026-09-06,Kipfilet
Gerookte zalm,4.99,4.99,0,,Standard,220 g,https://www.lidl.nl/p/gerookte-zalm/p10033505,2026-09-06,Gerookte zalm
Toiletpapier 4-laags,6.89,6.89,0,,Standard,16 rollen,https://www.lidl.nl/p/toiletpapier-4-laags/p10033507,2026-09-06,Toiletpapier 4-laags
OMO Vloeibaar en poeder,7.49,7.49,0,,Standard,,https://www.lidl.nl/p/omo-vloeibaar-en-poeder/p10033737,2026-09-06,OMO Vloeibaar en poeder
Californische pistachenoten,4.99,4.99,0,,Standard,Halve kilo,https://www.lidl.nl/p/californische-pistachenoten/p10033509,2026-09-06,Californische pistachenoten
Griekse stijl yoghurt 10% vet,1.75,1.75,0,,Standard,"1,1 kilo",https://www.lidl.nl/p/griekse-stijl-yoghurt-10-vet/p10033511,2026-09-06,Griekse stijl yoghurt 10% vet
CROKY Flatchips,1.99,1.99,0,,Standard,300 g,https://www.lidl.nl/p/croky-flatchips/p10033513,2026-09-06,CROKY Flatchips
BELLAROM Koffiecups,8.99,8.99,0,,Standard,24 of 48 cups,https://www.lidl.nl/p/bellarom-koffiecups/p10033515,2026-09-06,BELLAROM Koffiecups
Citroenen,1.79,1.79,0,,Standard,750 g,https://www.lidl.nl/p/citroenen/p10033517,2026-09-06,Citroenen
Prei,0.39,0.59,34,,Standard,Per stuk,https://www.lidl.nl/p/prei/p10033519,2026-09-06,Prei
Grapefruit,1.49,2.29,35,Lidl Plus (-35%),Member Deal,,https://www.lidl.nl/p/grapefruit/p10033521,2026-09-06,Grapefruit
Bio flespompoen of hokkaido,1.69,2.49,32,Lidl Plus (-32%),Member Deal,,https://www.lidl.nl/p/bio-flespompoen-of-hokkaido/p10033523,2026-09-06,Bio flespompoen of hokkaido
Bio kastanjechampignons,1.69,2.29,26,,Standard,Schaal 400 g,https://www.lidl.nl/p/bio-kastanjechampignons/p10033121,2026-09-06,Bio kastanjechampignons
Bio Zespri kiwi gold,2.49,3.49,29,Lidl Plus (-29%),Member Deal,,https://www.lidl.nl/p/bio-zespri-kiwi-gold/p10033525,2026-09-06,Bio Zespri kiwi gold
Avocado in net,1.99,2.79,29,,Standard,700 g,https://www.lidl.nl/p/avocado-in-net/p10033527,2026-09-06,Avocado in net
Bio pitloze druiven,1.99,2.99,33,,Standard,Schaal 500 g,https://www.lidl.nl/p/bio-pitloze-druiven/p10033529,2026-09-06,Bio pitloze druiven
Courgette,0.49,0.79,38,,Standard,Per stuk,https://www.lidl.nl/p/courgette/p10033531,2026-09-06,Courgette
Nederlandse Conference peren,0.99,1.79,45,Lidl Plus (-45%),Member Deal,,https://www.lidl.nl/p/nederlandse-conference-peren/p10033533,2026-09-06,Nederlandse Conference peren
Wilde nectarines,1.79,2.49,28,,Standard,Schaal 500 gram,https://www.lidl.nl/p/wilde-nectarines/p10033739,2026-09-06,Wilde nectarines
Waspeen,0.79,0.99,20,,Standard,Zak 500 g,https://www.lidl.nl/p/waspeen/p10033535,2026-09-06,Waspeen
Aardappelschijfjes naturel,1.59,1.59,0,,Standard,1 kilo,https://www.lidl.nl/p/aardappelschijfjes-naturel/p10033741,2026-09-06,Aardappelschijfjes naturel
Salades,1.99,2.99,33,Lidl Plus (-33%),Member Deal,,https://www.lidl.nl/p/salades/p10033537,2026-09-06,Salades
Rozijnenkrentenbollen,1.39,1.39,0,,Standard,6+2 gratis,https://www.lidl.nl/p/rozijnenkrentenbollen/p10033539,2026-09-06,Rozijnenkrentenbollen
