scraped_aisle,items_found,bonus_items,title_eng
bier-wijn-aperitieven,360,210,bier-wijn-aperitieven
borrel-chips-snacks,2696,1268,borrel-chips-snacks
diepvries,1186,261,diepvries
drogisterij,110,83,drogisterij
frisdrank-sappen-water,2072,925,frisdrank-sappen-water
fruit-verse-sappen,534,218,fruit-verse-sappen
gezondheid-en-sport,291,80,gezondheid-en-sport
glutenvrij,401,239,glutenvrij
groente-aardappelen,1098,268,groente-aardappelen
huishouden,39,13,huishouden
kaas,1189,659,kaas
koek-snoep-chocolade,1334,518,koek-snoep-chocolade
koffie-thee,1156,413,koffie-thee
koken-tafelen-vrije-tijd,1107,443,koken-tafelen-vrije-tijd
maaltijden-salades,838,480,maaltijden-salades
ontbijtgranen-beleg,1119,564,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2009,799,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1241,soepen-sauzen-kruiden-olie
tussendoortjes,1196,625,tussendoortjes
vegetarisch-vegan-en-plantaardig,619,205,vegetarisch-vegan-en-plantaardig
vis,678,326,vis
vlees,1368,742,vlees
vleeswaren,1082,645,vleeswaren
zuivel-eieren,183,61,zuivel-eieren
