scraped_aisle,items_found,bonus_items,title_eng
bier-wijn-aperitieven,903,580,beer-wine aperitifs
diepvries,38,9,freezer
drogisterij,111,65,drugstore
fruit-verse-sappen,75,34,fresh fruit juices
glutenvrij,218,100,gluten free
groente-aardappelen,252,43,vegetable potatoes
huishouden,75,39,households
kaas,111,53,cheese
koken-tafelen-vrije-tijd,39,7,cooking-dining-free-time
maaltijden-salades,540,299,meals-salads
pasta-rijst-wereldkeuken,72,29,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,75,26,soups-sauces-herbs-oil
tussendoortjes,435,215,snacks
vegetarisch-vegan-en-plantaardig,73,35,vegetarian-vegan-and-plant-based
vis,108,66,fish
vleeswaren,72,37,cold cuts
