title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at,title_eng
OMO Wasmiddel,7.49,7.49,0,,Standard,"3,8 kg/ 3,75 l",https://www.lidl.nl/p/omo-wasmiddel/p10031466,2026-08-03,OMO Detergent
ZESPRI Kiwi gold,0.49,0.79,38,Lidl Plus (-38%),Member Deal,,https://www.lidl.nl/p/zespri-kiwi-gold/p10031468,2026-08-03,ZESPRI Kiwi gold
Kipfilet,3.99,5.99,33,Lidl Plus (-33%),Member Deal,,https://www.lidl.nl/p/kipfilet/p10031470,2026-08-03,Kipfilet
Gouda belegen stuk kaas,4.19,4.19,0,,Standard,500 g,https://www.lidl.nl/p/gouda-belegen-stuk-kaas/p10031472,2026-08-03,Gouda belegen stuk kaas
HAWAIIAN TROPIC,7.99,7.99,0,,Standard,170-200 ml,https://www.lidl.nl/p/hawaiian-tropic/p10031474,2026-08-03,HAWAIIAN TROPIC
TAKSI,0.89,1.69,47,,Standard,"1,5 l",https://www.lidl.nl/p/taksi/p10031476,2026-08-03,TAKSI
AMSTEL Radler 0.0,2.95,5.99,51,,Standard,"6 x 0,33 l",https://www.lidl.nl/p/amstel-radler-0-0/p10031478,2026-08-03,AMSTEL Radler 0.0
Alle ros̩'s,1.87,2.49,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/alle-rose-s/p10031648,2026-08-03,Alle ros̩'s
PEPSI of 7UP,11.99,11.99,0,,Standard,24 x 330 ml,https://www.lidl.nl/p/pepsi-of-7up/p10031480,2026-08-03,PEPSI of 7UP
Wilde nectarines,1.49,2.49,40,Lidl Plus (-40%),Member Deal,,https://www.lidl.nl/p/wilde-nectarines/p10031309,2026-08-03,Wilde nectarines
Hollandse kersen,2.79,3.99,30,Lidl Plus (-30%),Member Deal,,https://www.lidl.nl/p/hollandse-kersen/p10031299,2026-08-03,Hollandse kersen
Bio blauwe bessen,1.49,2.49,40,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/bio-blauwe-bessen/p10031297,2026-08-03,Bio blauwe bessen
Sperziebonen,1.29,1.99,35,Lidl Plus (-35%),Member Deal,,https://www.lidl.nl/p/sperziebonen/p10031482,2026-08-03,Sperziebonen
"Waikiki, Piel de Sapo of Honing meloen",2.69,2.69,0,Lidl Plus (Tot -33%),Member Deal,,https://www.lidl.nl/p/waikiki-piel-de-sapo-of-honing-meloen/p10031484,2026-08-03,"Waikiki, Piel de Sapo of Honing meloen"
Opperdoezer ronde,1.29,1.79,28,Lidl Plus (-28%),Member Deal,,https://www.lidl.nl/p/opperdoezer-ronde/p10031486,2026-08-03,Opperdoezer ronde
Verspakket lasagne,3.99,5.29,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/verspakket-lasagne/p10031488,2026-08-03,Verspakket lasagne
Verse kruiden,0.79,0.99,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/verse-kruiden/p10031490,2026-08-03,Verse kruiden
Nederlandse pruimen,1.49,2.99,50,,Standard,500 g,https://www.lidl.nl/p/nederlandse-pruimen/p10031650,2026-08-03,Nederlandse pruimen
Zoete trostomaten,1.49,2.39,38,,Standard,500 g,https://www.lidl.nl/p/zoete-trostomaten/p10031492,2026-08-03,Zoete trostomaten
Blauwe bessen,2.29,3.29,30,,Standard,250 g,https://www.lidl.nl/p/blauwe-bessen/p10031674,2026-08-03,Blauwe bessen
Bramen,2.29,2.69,15,,Standard,125 g,https://www.lidl.nl/p/bramen/p10031494,2026-08-03,Bramen
Frambozen,2.29,3.59,36,,Standard,225 g,https://www.lidl.nl/p/frambozen/p10031496,2026-08-03,Frambozen
"Italiaanse, Thaise of Chinese roerbakmix",1.49,1.99,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/italiaanse-thaise-of-chinese-roerbakmix/p10031498,2026-08-03,"Italiaanse, Thaise of Chinese roerbakmix"
Rucola,0.69,0.99,30,Lidl Plus (-30%),Member Deal,,https://www.lidl.nl/p/rucola/p10031500,2026-08-03,Rucola
Krieltjes of aardappelschijfjes,0.79,0.79,0,Lidl Plus (Tot -20%),Member Deal,,https://www.lidl.nl/p/krieltjes-of-aardappelschijfjes/p10031652,2026-08-03,Krieltjes of aardappelschijfjes
Roombotercroissant,0.35,0.48,27,Lidl Plus (-27%),Member Deal,,https://www.lidl.nl/p/roombotercroissant/p10031502,2026-08-03,Butter croissant
Kaiserbroodje,0.19,0.28,32,Lidl Plus (-32%),Member Deal,,https://www.lidl.nl/p/kaiserbroodje/p10031504,2026-08-03,Kaiserbroodje
Pistachecroissant,0.79,0.79,0,,Standard,Per stuk,https://www.lidl.nl/p/pistachecroissant/p10031506,2026-08-03,Pistachio croissant
Bruine bollen,0.99,1.41,30,,Standard,10 stuks,https://www.lidl.nl/p/bruine-bollen/p10031508,2026-08-03,Brown balls
Bladerdeegstengel met high protein vanillevulling,0.69,0.69,0,,Standard,Per stuk,https://www.lidl.nl/p/bladerdeegstengel-met-high-protein-vanillevulling/p10031510,2026-08-03,Bladerdeegstengel met high protein vanillevulling
Mini calzone margherita,1.29,1.29,0,,Standard,Per stuk,https://www.lidl.nl/p/mini-calzone-margherita/p10031512,2026-08-03,Mini calzone margherita
Chocolade cakedonuts,1.49,1.49,0,,Standard,,https://www.lidl.nl/p/chocolade-cakedonuts/p10031514,2026-08-03,Chocolade cakedonuts
Zalmfilets,7.99,7.99,0,,Standard,4 x 125 g,https://www.lidl.nl/p/zalmfilets/p10031516,2026-08-03,Zalmfilets
Shoarma,2.99,4.94,39,Lidl Plus (-39%),Member Deal,,https://www.lidl.nl/p/shoarma/p10031654,2026-08-03,Shoarma
Zigeunergehaktsnitzels,5.99,7.18,17,,Standard,800 gram,https://www.lidl.nl/p/zigeunergehaktsnitzels/p10031656,2026-08-03,Zigeunergehaktsnitzels
Speklapjes,5.99,8.65,31,,Standard,800 gram,https://www.lidl.nl/p/speklapjes/p10031658,2026-08-03,Speklapjes
Hele dorade,1.59,1.59,0,,Standard,Ca. 340 g,https://www.lidl.nl/p/hele-dorade/p10031518,2026-08-03,Hele dorade
Extra mager rundergehakt,9.99,11.04,10,,Standard,750 gram,https://www.lidl.nl/p/extra-mager-rundergehakt/p10031520,2026-08-03,Extra mager rundergehakt
Groene hart kaas jong of jong belegen,2.19,2.19,0,Lidl Plus (Tot -37%),Member Deal,,https://www.lidl.nl/p/groene-hart-kaas-jong-of-jong-belegen/p10031522,2026-08-03,Groene hart kaas jong of jong belegen
BECEL,1.69,3.49,52,,Standard,250-550 g,https://www.lidl.nl/p/becel/p10031524,2026-08-03,BECEL
Halfvolle yoghurt met vanillesmaak,0.99,1.49,34,,Standard,1 l,https://www.lidl.nl/p/halfvolle-yoghurt-met-vanillesmaak/p10031526,2026-08-03,Halfvolle yoghurt met vanillesmaak
