scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1560,487,bakkerij
bier-wijn-aperitieven,2988,1853,bier-wijn-aperitieven
borrel-chips-snacks,2673,1230,borrel-chips-snacks
diepvries,1172,334,diepvries
drogisterij,2990,2150,drogisterij
frisdrank-sappen-water,2089,956,frisdrank-sappen-water
fruit-verse-sappen,587,271,fruit-verse-sappen
gezondheid-en-sport,1325,447,gezondheid-en-sport
glutenvrij,398,185,glutenvrij
groente-aardappelen,1146,312,groente-aardappelen
huishouden,1510,703,huishouden
kaas,1168,652,kaas
koek-snoep-chocolade,2864,1095,koek-snoep-chocolade
koffie-thee,1155,472,koffie-thee
koken-tafelen-vrije-tijd,1698,862,koken-tafelen-vrije-tijd
maaltijden-salades,836,449,maaltijden-salades
ontbijtgranen-beleg,2253,966,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2003,756,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1260,soepen-sauzen-kruiden-olie
tussendoortjes,1267,686,tussendoortjes
vegetarisch-vegan-en-plantaardig,609,213,vegetarisch-vegan-en-plantaardig
vis,648,344,vis
vlees,1392,780,vlees
vleeswaren,1077,622,vleeswaren
zuivel-eieren,1890,861,zuivel-eieren
