scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1577,544,bakkerij
bier-wijn-aperitieven,2738,1739,bier-wijn-aperitieven
borrel-chips-snacks,2693,1249,borrel-chips-snacks
diepvries,1235,329,diepvries
drogisterij,75,64,drogisterij
frisdrank-sappen-water,2091,950,frisdrank-sappen-water
fruit-verse-sappen,588,269,fruit-verse-sappen
gezondheid-en-sport,75,20,gezondheid-en-sport
glutenvrij,403,188,glutenvrij
groente-aardappelen,1141,297,groente-aardappelen
huishouden,1481,654,huishouden
kaas,1169,615,kaas
koek-snoep-chocolade,2883,1000,koek-snoep-chocolade
koffie-thee,1167,486,koffie-thee
koken-tafelen-vrije-tijd,1704,972,koken-tafelen-vrije-tijd
maaltijden-salades,828,442,maaltijden-salades
ontbijtgranen-beleg,2245,968,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2007,774,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1293,soepen-sauzen-kruiden-olie
tussendoortjes,1263,542,tussendoortjes
vegetarisch-vegan-en-plantaardig,609,257,vegetarisch-vegan-en-plantaardig
vis,648,349,vis
vlees,1393,744,vlees
vleeswaren,1068,620,vleeswaren
zuivel-eieren,1887,906,zuivel-eieren
