title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at,title_eng
Bloemkool,1.19,1.75,32,,Standard,Per stuk,https://www.lidl.nl/p/bloemkool/p10032216,2026-08-21,Cauliflower
Honing meloen matiss,1.69,2.49,32,Lidl Plus (-32%),Member Deal,,https://www.lidl.nl/p/honing-meloen-matiss/p10032218,2026-08-21,Honey melon matiss
Bio wortels,1.19,1.69,30,,Standard,1 kilo,https://www.lidl.nl/p/bio-wortels/p10032220,2026-08-21,Organic carrots
"Bio blauwe bessen, bramen of frambozen",1.79,1.79,0,,Standard,125 g,https://www.lidl.nl/p/bio-blauwe-bessen-bramen-of-frambozen/p10032412,2026-08-21,"Organic blueberries, blackberries or raspberries"
Hollandse pruimen,1.99,2.99,33,,Standard,500 g,https://www.lidl.nl/p/hollandse-pruimen/p10032222,2026-08-21,Dutch plums
ZESPRI kiwi's gold,3.99,5.99,33,Lidl Plus (-33%),Member Deal,,https://www.lidl.nl/p/zespri-kiwi-s-gold/p10032224,2026-08-21,ZESPRI kiwis gold
Trostomaten,0.69,0.99,30,,Standard,,https://www.lidl.nl/p/trostomaten/p10032226,2026-08-21,Vine tomatoes
Cactusvijgen,1.29,1.79,28,Lidl Plus (-28%),Member Deal,,https://www.lidl.nl/p/cactusvijgen/p10032228,2026-08-21,Prickly pears
Bio snackwortels,0.79,0.99,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/bio-snackwortels/p10032230,2026-08-21,Organic snack carrots
Snackkomkommers,1.79,2.69,33,Lidl Plus (-34%),Member Deal,,https://www.lidl.nl/p/snackkomkommers/p10032232,2026-08-21,Snack cucumbers
IJsbergsla,0.89,0.99,10,Lidl Plus (-10%),Member Deal,,https://www.lidl.nl/p/ijsbergsla/p10032234,2026-08-21,Iceberg lettuce
Voorgebakken friet,1.69,2.39,29,Lidl Plus (-29%),Member Deal,,https://www.lidl.nl/p/voorgebakken-friet/p10032236,2026-08-21,Pre-fried fries
Aardappelschijfjes naturel,1.59,1.94,18,,Standard,1 kilo,https://www.lidl.nl/p/aardappelschijfjes-naturel/p10032238,2026-08-21,Natural potato slices
Bio kokos rijstdrink,1.59,1.89,16,,Standard,1 l,https://www.lidl.nl/p/bio-kokos-rijstdrink/p10032188,2026-08-21,Organic coconut rice drink
Plantaardige vanille- of chocoladevla,1.29,1.59,19,,Standard,1 l,https://www.lidl.nl/p/plantaardige-vanille-of-chocoladevla/p10032190,2026-08-21,Vegetable vanilla or chocolate custard
Linzen,0.79,0.95,17,,Standard,425 ml,https://www.lidl.nl/p/linzen/p10032192,2026-08-21,Lentils
Kidneybonen,0.49,0.62,21,,Standard,425 ml,https://www.lidl.nl/p/kidneybonen/p10032194,2026-08-21,Kidney beans
Witte bonen in tomatensaus,0.49,0.64,23,,Standard,370 ml,https://www.lidl.nl/p/witte-bonen-in-tomatensaus/p10032196,2026-08-21,Baked beans
Bio amandeldrink ongezoet,1.19,1.48,20,,Standard,1 l,https://www.lidl.nl/p/bio-amandeldrink-ongezoet/p10032408,2026-08-21,Organic almond drink unsweetened
Sperziebonen gebroken en gedopt,1.69,2.19,23,,Standard,400 g,https://www.lidl.nl/p/sperziebonen-gebroken-en-gedopt/p10032198,2026-08-21,Green beans broken and shelled
"MARS, SNICKERS of TWIX ice cream",1.99,4.19,53,,Standard,5-pack,https://www.lidl.nl/p/mars-snickers-of-twix-ice-cream/p10032200,2026-08-21,"MARS, SNICKERS or TWIX ice cream"
DOUWE EGBERTS Aroma rood filterkoffie,6.49,9.49,32,,Standard,Halve kilo,https://www.lidl.nl/p/douwe-egberts-aroma-rood-filterkoffie/p10032202,2026-08-21,DOUWE EGBERTS Aroma red filter coffee
HEINEKEN,5.99,5.99,0,,Standard,"8 x 0,33 l",https://www.lidl.nl/p/heineken/p10032204,2026-08-21,HEINEKEN
Broodsalades,1.49,1.49,0,Lidl Plus (tot -50%),Member Deal,,https://www.lidl.nl/p/broodsalades/p10032206,2026-08-21,Bread salads
XXL NUTRITION Fitmeals,2.99,2.99,0,,Standard,425 g,https://www.lidl.nl/p/xxl-nutrition-fitmeals/p10032208,2026-08-21,XXL NUTRITION Fitmeals
Koffiepads XXL,3.29,4.03,18,,Standard,46 pads,https://www.lidl.nl/p/koffiepads-xxl/p10032210,2026-08-21,Coffee pods XXL
Zalmfilet op huid,7.99,11.98,33,,Standard,4 stuks,https://www.lidl.nl/p/zalmfilet-op-huid/p10032212,2026-08-21,Salmon fillet on skin
Extra mager rundergehakt,8.99,11.04,19,,Standard,750 g,https://www.lidl.nl/p/extra-mager-rundergehakt/p10032410,2026-08-21,Extra lean ground beef
