scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1567,550,bakkerij
bier-wijn-aperitieven,2991,1972,bier-wijn-aperitieven
borrel-chips-snacks,2673,1434,borrel-chips-snacks
diepvries,507,209,diepvries
drogisterij,2990,2219,drogisterij
frisdrank-sappen-water,75,46,frisdrank-sappen-water
fruit-verse-sappen,566,277,fruit-verse-sappen
gezondheid-en-sport,111,33,gezondheid-en-sport
glutenvrij,402,182,glutenvrij
groente-aardappelen,1128,403,groente-aardappelen
huishouden,1481,994,huishouden
kaas,1170,688,kaas
koek-snoep-chocolade,2853,1089,koek-snoep-chocolade
koken-tafelen-vrije-tijd,1823,1051,koken-tafelen-vrije-tijd
maaltijden-salades,815,519,maaltijden-salades
ontbijtgranen-beleg,2237,1175,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2012,959,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2091,1075,soepen-sauzen-kruiden-olie
tussendoortjes,1267,648,tussendoortjes
vegetarisch-vegan-en-plantaardig,595,341,vegetarisch-vegan-en-plantaardig
vis,637,346,vis
vlees,1389,769,vlees
vleeswaren,1054,648,vleeswaren
zuivel-eieren,2007,1038,zuivel-eieren
