scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1558,482,bakkerij
bier-wijn-aperitieven,39,29,bier-wijn-aperitieven
borrel-chips-snacks,2691,1323,borrel-chips-snacks
diepvries,1186,251,diepvries
drogisterij,74,44,drogisterij
frisdrank-sappen-water,110,62,frisdrank-sappen-water
fruit-verse-sappen,537,261,fruit-verse-sappen
gezondheid-en-sport,1119,251,gezondheid-en-sport
glutenvrij,401,155,glutenvrij
groente-aardappelen,1092,255,groente-aardappelen
huishouden,1545,596,huishouden
kaas,1185,645,kaas
koek-snoep-chocolade,2378,887,koek-snoep-chocolade
koffie-thee,1166,472,koffie-thee
koken-tafelen-vrije-tijd,972,377,koken-tafelen-vrije-tijd
maaltijden-salades,836,449,maaltijden-salades
ontbijtgranen-beleg,2242,961,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,1945,749,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1143,soepen-sauzen-kruiden-olie
tussendoortjes,1246,496,tussendoortjes
vegetarisch-vegan-en-plantaardig,616,261,vegetarisch-vegan-en-plantaardig
vis,672,356,vis
vlees,108,58,vlees
vleeswaren,1082,622,vleeswaren
zuivel-eieren,1893,842,zuivel-eieren
