scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1566,507,bakkerij
bier-wijn-aperitieven,2991,1760,bier-wijn-aperitieven
borrel-chips-snacks,758,388,borrel-chips-snacks
diepvries,1236,336,diepvries
drogisterij,2990,1982,drogisterij
frisdrank-sappen-water,2047,988,frisdrank-sappen-water
fruit-verse-sappen,571,254,fruit-verse-sappen
gezondheid-en-sport,1323,278,gezondheid-en-sport
glutenvrij,403,181,glutenvrij
groente-aardappelen,1128,305,groente-aardappelen
huishouden,1475,924,huishouden
kaas,1170,654,kaas
koek-snoep-chocolade,2854,980,koek-snoep-chocolade
koffie-thee,1140,460,koffie-thee
koken-tafelen-vrije-tijd,1771,974,koken-tafelen-vrije-tijd
maaltijden-salades,815,496,maaltijden-salades
ontbijtgranen-beleg,2243,1023,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2013,855,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1235,soepen-sauzen-kruiden-olie
tussendoortjes,1267,533,tussendoortjes
vegetarisch-vegan-en-plantaardig,604,294,vegetarisch-vegan-en-plantaardig
vis,643,347,vis
vlees,1392,731,vlees
vleeswaren,1066,634,vleeswaren
zuivel-eieren,1887,831,zuivel-eieren
