scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1559,536,bakkerij
bier-wijn-aperitieven,2988,1762,bier-wijn-aperitieven
borrel-chips-snacks,2669,1254,borrel-chips-snacks
diepvries,1236,316,diepvries
drogisterij,2991,1997,drogisterij
frisdrank-sappen-water,1994,830,frisdrank-sappen-water
fruit-verse-sappen,568,260,fruit-verse-sappen
gezondheid-en-sport,1331,289,gezondheid-en-sport
glutenvrij,402,183,glutenvrij
groente-aardappelen,1120,298,groente-aardappelen
huishouden,1480,581,huishouden
kaas,1167,642,kaas
koek-snoep-chocolade,2870,1019,koek-snoep-chocolade
koffie-thee,1138,443,koffie-thee
koken-tafelen-vrije-tijd,1796,1001,koken-tafelen-vrije-tijd
maaltijden-salades,813,426,maaltijden-salades
ontbijtgranen-beleg,2236,1052,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2019,793,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1314,soepen-sauzen-kruiden-olie
tussendoortjes,1266,600,tussendoortjes
vegetarisch-vegan-en-plantaardig,621,245,vegetarisch-vegan-en-plantaardig
vis,638,294,vis
vlees,1419,680,vlees
vleeswaren,1052,594,vleeswaren
zuivel-eieren,2006,919,zuivel-eieren
