scraped_aisle,items_found,bonus_items,title_eng
bakkerij,39,3,bakery
bier-wijn-aperitieven,183,129,beer-wine aperitifs
diepvries,109,32,freezer
drogisterij,36,22,drugstore
frisdrank-sappen-water,74,39,soft drinks-juices-water
fruit-verse-sappen,533,251,fresh fruit juices
gezondheid-en-sport,111,26,health-and-sports
glutenvrij,146,62,gluten-free
huishouden,1552,649,households
kaas,363,202,cheese
koek-snoep-chocolade,74,28,cookie-candy-chocolate
koffie-thee,75,31,coffee-tea
koken-tafelen-vrije-tijd,219,100,cooking-dining-free-time
maaltijden-salades,144,82,meals-salads
ontbijtgranen-beleg,39,11,breakfast cereal toppings
pasta-rijst-wereldkeuken,72,27,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,975,493,soups-sauces-herbs-oil
tussendoortjes,74,34,snacks
vegetarisch-vegan-en-plantaardig,397,168,vegetarian-vegan-and-plant-based
vis,684,359,fish
vlees,504,274,meat
vleeswaren,1082,619,cold cuts
zuivel-eieren,75,14,dairy eggs
