scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1558,496,bakkerij
bier-wijn-aperitieven,2988,2004,bier-wijn-aperitieven
borrel-chips-snacks,2685,1422,borrel-chips-snacks
diepvries,1179,362,diepvries
drogisterij,2991,2334,drogisterij
frisdrank-sappen-water,2073,1051,frisdrank-sappen-water
fruit-verse-sappen,587,319,fruit-verse-sappen
gezondheid-en-sport,1323,446,gezondheid-en-sport
glutenvrij,400,169,glutenvrij
groente-aardappelen,1136,361,groente-aardappelen
huishouden,1533,795,huishouden
kaas,1170,698,kaas
koek-snoep-chocolade,2797,1202,koek-snoep-chocolade
koffie-thee,1161,553,koffie-thee
koken-tafelen-vrije-tijd,1651,819,koken-tafelen-vrije-tijd
maaltijden-salades,837,505,maaltijden-salades
ontbijtgranen-beleg,2248,1054,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2005,852,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1314,soepen-sauzen-kruiden-olie
tussendoortjes,1244,707,tussendoortjes
vegetarisch-vegan-en-plantaardig,615,282,vegetarisch-vegan-en-plantaardig
vis,672,387,vis
vlees,1393,807,vlees
vleeswaren,1082,642,vleeswaren
zuivel-eieren,1896,949,zuivel-eieren
