scraped_aisle,items_found,bonus_items,title_eng
bakkerij,111,18,bakkerij
bier-wijn-aperitieven,39,29,bier-wijn-aperitieven
borrel-chips-snacks,147,74,borrel-chips-snacks
diepvries,291,99,diepvries
drogisterij,39,29,drogisterij
frisdrank-sappen-water,219,117,frisdrank-sappen-water
groente-aardappelen,36,4,groente-aardappelen
kaas,39,12,kaas
koken-tafelen-vrije-tijd,435,203,koken-tafelen-vrije-tijd
pasta-rijst-wereldkeuken,72,28,pasta-rijst-wereldkeuken
tussendoortjes,74,37,tussendoortjes
vegetarisch-vegan-en-plantaardig,37,12,vegetarisch-vegan-en-plantaardig
vlees,504,303,vlees
vleeswaren,72,37,vleeswaren
zuivel-eieren,147,45,zuivel-eieren
