scraped_aisle,items_found,bonus_items,title_eng
bier-wijn-aperitieven,74,65,beer-wine aperitifs
borrel-chips-snacks,39,24,drinks-chips-snacks
drogisterij,75,59,drugstore
fruit-verse-sappen,38,24,fresh fruit juices
gezondheid-en-sport,39,10,health-and-sports
glutenvrij,38,20,gluten free
groente-aardappelen,36,6,vegetable potatoes
huishouden,111,68,households
kaas,39,13,cheese
koken-tafelen-vrije-tijd,183,80,cooking-dining-free-time
soepen-sauzen-kruiden-olie,39,14,soups-sauces-herbs-oil
vis,36,28,fish
vlees,108,70,meat
