scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1568,507,bakkerij
bier-wijn-aperitieven,2991,1757,bier-wijn-aperitieven
borrel-chips-snacks,2683,1366,borrel-chips-snacks
diepvries,1234,335,diepvries
drogisterij,2990,1981,drogisterij
frisdrank-sappen-water,2058,993,frisdrank-sappen-water
fruit-verse-sappen,576,255,fruit-verse-sappen
gezondheid-en-sport,1324,278,gezondheid-en-sport
glutenvrij,402,181,glutenvrij
groente-aardappelen,1141,310,groente-aardappelen
huishouden,1477,919,huishouden
kaas,1170,654,kaas
koek-snoep-chocolade,2871,993,koek-snoep-chocolade
koffie-thee,1134,460,koffie-thee
koken-tafelen-vrije-tijd,1768,974,koken-tafelen-vrije-tijd
maaltijden-salades,815,491,maaltijden-salades
ontbijtgranen-beleg,2243,1023,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2014,842,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1236,soepen-sauzen-kruiden-olie
tussendoortjes,1267,533,tussendoortjes
vegetarisch-vegan-en-plantaardig,607,293,vegetarisch-vegan-en-plantaardig
vis,650,340,vis
vlees,1394,732,vlees
vleeswaren,1066,633,vleeswaren
zuivel-eieren,1886,831,zuivel-eieren
