title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at,title_eng
NESCAFÃ Gold,6.49,9.89,34,,Standard,200 g,https://www.lidl.nl/p/nescafe-gold/p10031071,2026-07-31,NESCAFÉ Gold
Rode pitloze druiven,1.19,2.49,52,Lidl Plus (-52%),Member Deal,,https://www.lidl.nl/p/rode-pitloze-druiven/p10031295,2026-07-31,Red seedless grapes
NESCAFÃ Gold oploskoffie,1.99,1.99,0,,Standard,,https://www.lidl.nl/p/nescafe-gold-oploskoffie/p10031073,2026-07-31,NESCAFÃ Gold instant coffee
Koffie goud XXL,7.99,15.98,50,,Standard,2 x 500 g,https://www.lidl.nl/p/koffie-goud-xxl/p10031075,2026-07-31,Coffee gold XXL
JOHN WEST tonijn,5.99,5.99,0,,Standard,,https://www.lidl.nl/p/john-west-tonijn/p10031077,2026-07-31,JOHN WEST tuna
ALMHOF hoekje,0.79,0.79,0,,Standard,,https://www.lidl.nl/p/almhof-hoekje/p10031079,2026-07-31,ALMHOF corner
Olijfolie classico,5.49,7.65,28,Lidl Plus (-28%),Member Deal,,https://www.lidl.nl/p/olijfolie-classico/p10031081,2026-07-31,Olive oil classico
Alle Kordaat 6-packs,1.56,1.56,0,,Standard,,https://www.lidl.nl/p/alle-kordaat-6-packs/p10031083,2026-07-31,All Kordaat 6-packs
MAGNUM Mini,2.99,2.99,0,,Standard,,https://www.lidl.nl/p/magnum-mini/p10031085,2026-07-31,MAGNUM Mini
LIPTON Ice Tea,1.69,1.69,0,,Standard,,https://www.lidl.nl/p/lipton-ice-tea/p10031087,2026-07-31,LIPTON Ice Tea
Hele bio-assortiment,0.41,0.49,16,Lidl Plus (-15%),Member Deal,,https://www.lidl.nl/p/hele-bio-assortiment/p10026111,2026-07-31,Whole organic range
Paprikamix,1.29,1.89,32,,Standard,Zak 500 g,https://www.lidl.nl/p/paprikamix/p10031089,2026-07-31,Paprika mix
Rode bessen,2.49,3.49,29,,Standard,250 g,https://www.lidl.nl/p/rode-bessen/p10031091,2026-07-31,Red berries
IJsbergsla,0.59,0.99,40,Lidl Plus (-40%),Member Deal,,https://www.lidl.nl/p/ijsbergsla/p10031093,2026-07-31,Iceberg lettuce
Bio blauwe bessen,1.49,2.49,40,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/bio-blauwe-bessen/p10031297,2026-07-31,Organic blueberries
Minneola's,0.99,1.49,34,,Standard,,https://www.lidl.nl/p/minneola-s/p10031095,2026-07-31,Minneolas
Watermeloen,2.99,4.99,40,Lidl Plus (-40%),Member Deal,,https://www.lidl.nl/p/watermeloen/p10031097,2026-07-31,Watermelon
Witlof,0.99,1.25,21,,Standard,Zak 500 g,https://www.lidl.nl/p/witlof/p10031099,2026-07-31,Chicory
Hollandse kersen,2.79,3.99,30,Lidl Plus (-30%),Member Deal,,https://www.lidl.nl/p/hollandse-kersen/p10031299,2026-07-31,Dutch cherries
Salades,1.99,2.99,33,Lidl Plus (-33%),Member Deal,,https://www.lidl.nl/p/salades/p10031101,2026-07-31,Salads
Krieltjes in schil rozemarijn en zeezout,0.79,1.29,39,Lidl Plus (-39%),Member Deal,,https://www.lidl.nl/p/krieltjes-in-schil-rozemarijn-en-zeezout/p10031103,2026-07-31,Baby potatoes in peel with rosemary and sea salt
Rucola melange,1.49,1.49,0,,Standard,150 g,https://www.lidl.nl/p/rucola-melange/p10031105,2026-07-31,Arugula blend
Pompoenpitbroodje,0.39,0.59,34,Lidl Plus (-34%),Member Deal,,https://www.lidl.nl/p/pompoenpitbroodje/p10031107,2026-07-31,Pumpkin seed bread
Sesam volkorenbrood,1.49,1.99,25,,Standard,800 g,https://www.lidl.nl/p/sesam-volkorenbrood/p10031109,2026-07-31,Sesame whole wheat bread
Pizza donut margherita,0.99,0.99,0,,Standard,Per stuk,https://www.lidl.nl/p/pizza-donut-margherita/p10031111,2026-07-31,Pizza donut margherita
Flammkuchen ham en ui,0.99,0.99,0,,Standard,Per stuk,https://www.lidl.nl/p/flammkuchen-ham-en-ui/p10031113,2026-07-31,Flammkuchen ham and onion
Gevulde koek,0.49,0.68,28,Lidl Plus (-28%),Member Deal,,https://www.lidl.nl/p/gevulde-koek/p10031115,2026-07-31,Filled cookie
Cookie red velvet,0.89,0.89,0,,Standard,Per stuk,https://www.lidl.nl/p/cookie-red-velvet/p10031117,2026-07-31,Cookie red velvet
Cronut caramel,0.99,0.99,0,,Standard,Per stuk,https://www.lidl.nl/p/cronut-caramel/p10031119,2026-07-31,Cronut caramel
Pinky donuts,1.99,1.99,0,,Standard,,https://www.lidl.nl/p/pinky-donuts/p10031121,2026-07-31,Pinky donuts
Gemengd gehakt,5.29,9.18,42,,Standard,1 kilo,https://www.lidl.nl/p/gemengd-gehakt/p10031301,2026-07-31,Mixed minced meat
Kipfiletblokjes,3.99,6.47,38,Lidl Plus (-38%),Member Deal,,https://www.lidl.nl/p/kipfiletblokjes/p10031123,2026-07-31,Chicken fillet cubes
Schouderkarbonade,5.69,7.96,29,,Standard,1 kilo,https://www.lidl.nl/p/schouderkarbonade/p10029639,2026-07-31,Shoulder chop
Duitse biefstuk,7.0,8.98,22,,Standard,500 g,https://www.lidl.nl/p/duitse-biefstuk/p10031125,2026-07-31,German steak
Wokgarnalen,7.69,8.53,10,,Standard,450 g,https://www.lidl.nl/p/wokgarnalen/p10029687,2026-07-31,Stir-fried shrimp
Rundertartaartjes,10.99,12.98,15,,Standard,800 gram,https://www.lidl.nl/p/rundertartaartjes/p10031127,2026-07-31,Beef tartares
Tomahawk steak red roast,1.39,1.39,0,,Standard,,https://www.lidl.nl/p/tomahawk-steak-red-roast/p10031129,2026-07-31,Tomahawk steak red roast
Gemarineerde BBQ-worst,2.59,3.59,28,Lidl Plus (-28%),Member Deal,,https://www.lidl.nl/p/gemarineerde-bbq-worst/p10031303,2026-07-31,Marinated BBQ sausage
BBQ-bavette spies salt & pepper,6.99,8.99,22,Lidl Plus (-22%),Member Deal,,https://www.lidl.nl/p/bbq-bavette-spies-salt-pepper/p10031311,2026-07-31,BBQ bavette skewer salt & pepper
Chicken wings buffalo stijl,4.99,4.99,0,,Standard,600 g,https://www.lidl.nl/p/chicken-wings-buffalo-stijl/p10031133,2026-07-31,Chicken wings buffalo style
Roomdessert 10%,0.39,0.48,19,Lidl Plus (-19%),Member Deal,,https://www.lidl.nl/p/roomdessert-10/p10031135,2026-07-31,Cream dessert 10%
Achterham,1.29,1.79,28,Lidl Plus (-28%),Member Deal,,https://www.lidl.nl/p/achterham/p10031137,2026-07-31,Gammon
Goudse plakken 30+,2.49,3.55,30,Lidl Plus (-30%),Member Deal,,https://www.lidl.nl/p/goudse-plakken-30/p10031139,2026-07-31,Gouda slices 30+
Gouda extra belegen plakken,5.59,6.58,15,,Standard,500 g,https://www.lidl.nl/p/gouda-extra-belegen-plakken/p10031141,2026-07-31,Gouda extra mature slices
"Magere, halfvolle of volle houdbare melk",3.19,4.56,30,Lidl Plus (Tot -30%),Member Deal,,https://www.lidl.nl/p/magere-halfvolle-of-volle-houdbare-melk/p10031305,2026-07-31,"Skimmed, semi-skimmed or full long-life milk"
Emmentaler kaas,5.99,5.99,0,,Standard,600 g,https://www.lidl.nl/p/emmentaler-kaas/p10031145,2026-07-31,Emmentaler cheese
Leverworst,1.99,2.58,23,,Standard,1 kg,https://www.lidl.nl/p/leverworst/p10029789,2026-07-31,Liverwurst
KERRYGOLD Ierse boter,2.99,2.99,0,,Standard,250 g,https://www.lidl.nl/p/kerrygold-ierse-boter/p10031147,2026-07-31,KERRYGOLD Irish butter
Verse roomkaas bieslook,1.49,1.97,24,,Standard,175 g,https://www.lidl.nl/p/verse-roomkaas-bieslook/p10031149,2026-07-31,Fresh cream cheese chives
IGLO Vissticks,2.89,3.49,17,,Standard,15 stuks,https://www.lidl.nl/p/iglo-vissticks/p10031151,2026-07-31,IGLO Fish Fingers
Verse pizza's,3.91,4.89,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/verse-pizza-s/p10031153,2026-07-31,Fresh pizzas
CALVÃ Pindakaas,2.49,2.49,0,,Standard,350 g,https://www.lidl.nl/p/calve-pindakaas/p10031155,2026-07-31,CALVÃ Peanut butter
Focaccia,1.49,1.99,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/focaccia/p10031157,2026-07-31,Focaccia
UNOX Knaks,1.99,2.55,22,,Standard,400 g,https://www.lidl.nl/p/unox-knaks/p10031159,2026-07-31,UNOX Knaks
MORA Carrero of Pikanto,2.79,2.79,0,,Standard,400 g,https://www.lidl.nl/p/mora-carrero-of-pikanto/p10031161,2026-07-31,MORA Carrero or Pikanto
CALVÃ Saus,1.49,1.49,0,,Standard,250 ml,https://www.lidl.nl/p/calve-saus/p10031163,2026-07-31,CALVÃ Sauce
HEINZ Tomato Frito,1.99,1.99,0,,Standard,780 ml,https://www.lidl.nl/p/heinz-tomato-frito/p10031165,2026-07-31,HEINZ Tomato Frito
SOBA Cup noodles,1.29,2.45,47,,Standard,88-92 g,https://www.lidl.nl/p/soba-cup-noodles/p10031167,2026-07-31,SOBA Cup noodles
VALESS Vleesvervangers,2.49,3.55,30,,Standard,160-180 g,https://www.lidl.nl/p/valess-vleesvervangers/p10031169,2026-07-31,VALESS Meat substitutes
