scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1558,536,bakkerij
bier-wijn-aperitieven,2991,1765,bier-wijn-aperitieven
borrel-chips-snacks,2672,1272,borrel-chips-snacks
diepvries,1236,314,diepvries
drogisterij,2991,1998,drogisterij
frisdrank-sappen-water,1989,831,frisdrank-sappen-water
fruit-verse-sappen,567,260,fruit-verse-sappen
gezondheid-en-sport,1330,289,gezondheid-en-sport
glutenvrij,403,177,glutenvrij
groente-aardappelen,1123,298,groente-aardappelen
huishouden,1467,581,huishouden
kaas,1168,642,kaas
koek-snoep-chocolade,2872,1019,koek-snoep-chocolade
koffie-thee,1139,443,koffie-thee
koken-tafelen-vrije-tijd,1824,1003,koken-tafelen-vrije-tijd
maaltijden-salades,816,426,maaltijden-salades
ontbijtgranen-beleg,2230,1043,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2023,805,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1313,soepen-sauzen-kruiden-olie
tussendoortjes,1263,600,tussendoortjes
vegetarisch-vegan-en-plantaardig,584,241,vegetarisch-vegan-en-plantaardig
vis,621,305,vis
vlees,1281,662,vlees
vleeswaren,1046,594,vleeswaren
zuivel-eieren,2002,916,zuivel-eieren
