scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1558,496,bakkerij
bier-wijn-aperitieven,2988,2005,bier-wijn-aperitieven
borrel-chips-snacks,2688,1422,borrel-chips-snacks
diepvries,1173,361,diepvries
drogisterij,2990,2335,drogisterij
frisdrank-sappen-water,2075,1049,frisdrank-sappen-water
fruit-verse-sappen,583,320,fruit-verse-sappen
gezondheid-en-sport,1323,446,gezondheid-en-sport
glutenvrij,399,169,glutenvrij
groente-aardappelen,1136,361,groente-aardappelen
huishouden,1533,794,huishouden
kaas,1170,698,kaas
koek-snoep-chocolade,2796,1202,koek-snoep-chocolade
koffie-thee,1160,553,koffie-thee
koken-tafelen-vrije-tijd,1647,819,koken-tafelen-vrije-tijd
maaltijden-salades,836,505,maaltijden-salades
ontbijtgranen-beleg,2248,1054,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2005,852,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1315,soepen-sauzen-kruiden-olie
tussendoortjes,1240,707,tussendoortjes
vegetarisch-vegan-en-plantaardig,615,282,vegetarisch-vegan-en-plantaardig
vis,672,387,vis
vlees,1392,808,vlees
vleeswaren,1082,642,vleeswaren
zuivel-eieren,1896,948,zuivel-eieren
