scraped_aisle,items_found,bonus_items,title_eng
bakkerij,543,181,bakkerij
bier-wijn-aperitieven,2919,1786,bier-wijn-aperitieven
borrel-chips-snacks,398,193,borrel-chips-snacks
diepvries,1186,251,diepvries
drogisterij,183,118,drogisterij
frisdrank-sappen-water,2072,942,frisdrank-sappen-water
fruit-verse-sappen,533,260,fruit-verse-sappen
gezondheid-en-sport,1265,251,gezondheid-en-sport
glutenvrij,399,152,glutenvrij
groente-aardappelen,432,96,groente-aardappelen
huishouden,1533,596,huishouden
kaas,1170,645,kaas
koek-snoep-chocolade,2796,970,koek-snoep-chocolade
koffie-thee,867,408,koffie-thee
koken-tafelen-vrije-tijd,1491,662,koken-tafelen-vrije-tijd
maaltijden-salades,838,449,maaltijden-salades
ontbijtgranen-beleg,2240,970,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2008,763,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,759,305,soepen-sauzen-kruiden-olie
tussendoortjes,1247,499,tussendoortjes
vegetarisch-vegan-en-plantaardig,615,261,vegetarisch-vegan-en-plantaardig
vis,672,355,vis
vlees,1393,741,vlees
vleeswaren,1082,620,vleeswaren
zuivel-eieren,1892,842,zuivel-eieren
