scraped_aisle,items_found,bonus_items,title_eng
bakkerij,39,3,bakkerij
bier-wijn-aperitieven,39,28,bier-wijn-aperitieven
frisdrank-sappen-water,543,280,frisdrank-sappen-water
fruit-verse-sappen,532,232,fruit-verse-sappen
gezondheid-en-sport,255,74,gezondheid-en-sport
glutenvrij,144,63,glutenvrij
groente-aardappelen,1097,251,groente-aardappelen
kaas,111,51,kaas
maaltijden-salades,360,214,maaltijden-salades
ontbijtgranen-beleg,75,27,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,468,221,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,75,30,soepen-sauzen-kruiden-olie
vegetarisch-vegan-en-plantaardig,505,180,vegetarisch-vegan-en-plantaardig
vis,683,387,vis
vlees,72,43,vlees
vleeswaren,36,19,vleeswaren
zuivel-eieren,687,300,zuivel-eieren
