scraped_aisle,items_found,bonus_items,title_eng
bakkerij,903,354,bakery
bier-wijn-aperitieven,2990,1879,beer-wine aperitifs
borrel-chips-snacks,2689,1241,drinks-chips-snacks
diepvries,1234,330,freezer
drogisterij,2991,2248,drugstore
frisdrank-sappen-water,2074,934,soft drinks-juices-water
fruit-verse-sappen,584,269,fresh fruit juices
gezondheid-en-sport,1327,377,health-and-sports
glutenvrij,75,37,gluten free
groente-aardappelen,1119,297,vegetable potatoes
huishouden,1471,649,households
kaas,1170,617,cheese
koek-snoep-chocolade,2878,999,cookie-candy-chocolate
koffie-thee,1156,486,coffee-tea
koken-tafelen-vrije-tijd,1703,973,cooking-dining-free-time
maaltijden-salades,808,442,meals-salads
ontbijtgranen-beleg,2245,968,breakfast cereal toppings
pasta-rijst-wereldkeuken,2008,771,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,2991,1292,soups-sauces-herbs-oil
tussendoortjes,1263,542,snacks
vegetarisch-vegan-en-plantaardig,609,257,vegetarian-vegan-and-plant-based
vis,648,346,fish
vlees,1393,737,meat
vleeswaren,1066,620,cold cuts
zuivel-eieren,1551,759,dairy eggs
