scraped_aisle,items_found,bonus_items,title_eng
bakkerij,147,35,bakkerij
bier-wijn-aperitieven,1440,849,bier-wijn-aperitieven
borrel-chips-snacks,686,327,borrel-chips-snacks
diepvries,39,6,diepvries
drogisterij,975,747,drogisterij
frisdrank-sappen-water,722,396,frisdrank-sappen-water
fruit-verse-sappen,536,219,fruit-verse-sappen
gezondheid-en-sport,75,19,gezondheid-en-sport
glutenvrij,255,165,glutenvrij
groente-aardappelen,756,192,groente-aardappelen
kaas,435,227,kaas
koek-snoep-chocolade,38,9,koek-snoep-chocolade
koffie-thee,867,355,koffie-thee
koken-tafelen-vrije-tijd,756,345,koken-tafelen-vrije-tijd
ontbijtgranen-beleg,363,173,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,541,272,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,75,29,soepen-sauzen-kruiden-olie
tussendoortjes,578,347,tussendoortjes
vegetarisch-vegan-en-plantaardig,619,202,vegetarisch-vegan-en-plantaardig
vis,39,21,vis
vleeswaren,864,519,vleeswaren
zuivel-eieren,111,29,zuivel-eieren
