scraped_aisle,items_found,bonus_items,title_eng
bier-wijn-aperitieven,39,34,bier-wijn-aperitieven
borrel-chips-snacks,363,199,borrel-chips-snacks
diepvries,218,88,diepvries
drogisterij,39,31,drogisterij
frisdrank-sappen-water,111,63,frisdrank-sappen-water
fruit-verse-sappen,74,40,fruit-verse-sappen
glutenvrij,110,45,glutenvrij
groente-aardappelen,396,118,groente-aardappelen
huishouden,507,344,huishouden
kaas,75,33,kaas
koek-snoep-chocolade,38,11,koek-snoep-chocolade
koffie-thee,291,173,koffie-thee
koken-tafelen-vrije-tijd,183,80,koken-tafelen-vrije-tijd
maaltijden-salades,36,19,maaltijden-salades
soepen-sauzen-kruiden-olie,183,102,soepen-sauzen-kruiden-olie
vegetarisch-vegan-en-plantaardig,616,254,vegetarisch-vegan-en-plantaardig
vis,255,174,vis
vleeswaren,72,41,vleeswaren
zuivel-eieren,147,47,zuivel-eieren
