scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1575,561,bakkerij
bier-wijn-aperitieven,2988,2066,bier-wijn-aperitieven
borrel-chips-snacks,2689,1455,borrel-chips-snacks
diepvries,1234,392,diepvries
drogisterij,2991,2396,drogisterij
frisdrank-sappen-water,2074,1121,frisdrank-sappen-water
fruit-verse-sappen,584,283,fruit-verse-sappen
gezondheid-en-sport,1327,387,gezondheid-en-sport
glutenvrij,407,182,glutenvrij
huishouden,1492,1091,huishouden
kaas,1170,672,kaas
koek-snoep-chocolade,2878,1106,koek-snoep-chocolade
koffie-thee,1156,565,koffie-thee
koken-tafelen-vrije-tijd,1785,1063,koken-tafelen-vrije-tijd
maaltijden-salades,806,524,maaltijden-salades
ontbijtgranen-beleg,2245,1110,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2008,958,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1437,soepen-sauzen-kruiden-olie
tussendoortjes,1264,590,tussendoortjes
vegetarisch-vegan-en-plantaardig,109,80,vegetarisch-vegan-en-plantaardig
vis,648,391,vis
vlees,1389,765,vlees
vleeswaren,1066,671,vleeswaren
zuivel-eieren,1887,985,zuivel-eieren
