title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at,title_eng
Premium druiven,1.49,2.79,47,,Standard,400 g,https://www.lidl.nl/p/premium-druiven/p10034105,2026-09-19,Premium druiven
Elstar appels,1.19,1.99,40,Lidl Plus (-40%),Member Deal,,https://www.lidl.nl/p/elstar-appels/p10034107,2026-09-19,Elstar appels
Spinazie,0.99,1.79,45,,Standard,Zak 450 g,https://www.lidl.nl/p/spinazie/p10034109,2026-09-19,Spinazie
Cactusvijgen,1.29,1.79,28,,Standard,Schaal 500 g,https://www.lidl.nl/p/cactusvijgen/p10033899,2026-09-19,Cactusvijgen
Aardappelen vastkokend of kruimig,0.99,1.19,17,,Standard,1 kg,https://www.lidl.nl/p/aardappelen-vastkokend-of-kruimig/p10033901,2026-09-19,Aardappelen vastkokend of kruimig
Mango,0.99,1.79,45,,Standard,Per stuk,https://www.lidl.nl/p/mango/p10034111,2026-09-19,Mango
Bloemkoolroosjes,1.89,2.29,17,Lidl Plus (-17%),Member Deal,,https://www.lidl.nl/p/bloemkoolroosjes/p10034113,2026-09-19,Bloemkoolroosjes
Uien,2.89,2.89,0,,Standard,5 kilo,https://www.lidl.nl/p/uien/p10033907,2026-09-19,Uien
Bleekselderij,0.99,1.29,23,,Standard,Per stuk,https://www.lidl.nl/p/bleekselderij/p10033909,2026-09-19,Bleekselderij
AMSTEL RADLER 0.0,2.88,5.99,52,,Standard,"6 x 0,33 l",https://www.lidl.nl/p/amstel-radler-0-0/p10033911,2026-09-19,AMSTEL RADLER 0.0
Koffie rood,8.99,8.99,0,,Standard,2 x 500 gram,https://www.lidl.nl/p/koffie-rood/p10033913,2026-09-19,Koffie rood
Alle drinkyoghurt,0.89,1.28,30,Lidl Plus (-30%),Member Deal,,https://www.lidl.nl/p/alle-drinkyoghurt/p10034115,2026-09-19,Alle drinkyoghurt
Schouderkarbonades,5.99,5.99,0,,Standard,,https://www.lidl.nl/p/schouderkarbonades/p10033917,2026-09-19,Schouderkarbonades
MORA Frikandel,1.95,1.95,0,,Standard,4 x 120 g,https://www.lidl.nl/p/mora-frikandel/p10033919,2026-09-19,MORA Frikandel
Basmatirijst,7.49,7.49,0,,Standard,"4,5 kg",https://www.lidl.nl/p/basmatirijst/p10033921,2026-09-19,Basmatirijst
Vaatwastabs All-in-1 Power,2.99,2.99,0,,Standard,,https://www.lidl.nl/p/vaatwastabs-all-in-1-power/p10033923,2026-09-19,Vaatwastabs All-in-1 Power
Keukenrol Maxi 2-laags,5.99,5.99,0,,Standard,2 x 500 vellen,https://www.lidl.nl/p/keukenrol-maxi-2-laags/p10033925,2026-09-19,Keukenrol Maxi 2-laags
Witte bollen,1.44,1.44,0,,Standard,12 stuks,https://www.lidl.nl/p/witte-bollen/p10033927,2026-09-19,Witte bollen
Roombotercroissant,0.29,0.48,40,Lidl Plus (-39%),Member Deal,,https://www.lidl.nl/p/roombotercroissant/p10034117,2026-09-19,Roombotercroissant
Tijgerbruin vloerbrood,0.99,1.18,16,Lidl Plus (-16%),Member Deal,,https://www.lidl.nl/p/tijgerbruin-vloerbrood/p10034119,2026-09-19,Tijgerbruin vloerbrood
Appeltaart,2.69,2.69,0,,Standard,600 g,https://www.lidl.nl/p/appeltaart/p10033933,2026-09-19,Appeltaart
Tijgerbroodje,0.29,0.33,12,,Standard,Per stuk,https://www.lidl.nl/p/tijgerbroodje/p10034121,2026-09-19,Tijgerbroodje
Calzone Philly beef & cheese style,1.79,1.79,0,,Standard,Per stuk,https://www.lidl.nl/p/calzone-philly-beef-cheese-style/p10033937,2026-09-19,Calzone Philly beef & cheese style
Schwarzwalder pencee,2.49,2.49,0,,Standard,4 stuks,https://www.lidl.nl/p/schwarzwalder-pencee/p10033939,2026-09-19,Schwarzwalder pencee
Churro,0.39,0.39,0,,Standard,Per stuk,https://www.lidl.nl/p/churro/p10033941,2026-09-19,Churro
Kipshoarma,9.99,9.99,0,,Standard,,https://www.lidl.nl/p/kipshoarma/p10033943,2026-09-19,Kipshoarma
Braadworsten,1.99,3.16,37,Lidl Plus (-37%),Member Deal,,https://www.lidl.nl/p/braadworsten/p10033945,2026-09-19,Braadworsten
Speklapjes gemarineerd,5.49,5.49,0,,Standard,600 g,https://www.lidl.nl/p/speklapjes-gemarineerd/p10033947,2026-09-19,Speklapjes gemarineerd
Kipkrokantschnitzel,2.79,2.79,0,,Standard,250 g,https://www.lidl.nl/p/kipkrokantschnitzel/p10033949,2026-09-19,Kipkrokantschnitzel
Duitse biefstuk,7.99,7.99,0,,Standard,"500 g, 4 stuks",https://www.lidl.nl/p/duitse-biefstuk/p10033951,2026-09-19,Duitse biefstuk
Roodbaarsfilet,2.79,2.79,0,,Standard,,https://www.lidl.nl/p/roodbaarsfilet/p10033953,2026-09-19,Roodbaarsfilet
Zalmburger,5.99,5.99,0,,Standard,360 g,https://www.lidl.nl/p/zalmburger/p10033955,2026-09-19,Zalmburger
Plantaardig rulgehakt of balletjes,1.29,1.48,13,Lidl Plus (-13%),Member Deal,,https://www.lidl.nl/p/plantaardig-rulgehakt-of-balletjes/p10034123,2026-09-19,Plantaardig rulgehakt of balletjes
ALMHOF Roomyoghurt,1.49,2.39,38,,Standard,500 g,https://www.lidl.nl/p/almhof-roomyoghurt/p10033959,2026-09-19,ALMHOF Roomyoghurt
Boerencake,2.99,2.99,0,,Standard,350 g,https://www.lidl.nl/p/boerencake/p10033961,2026-09-19,Boerencake
Gerookte wilde Sockeye zalm,4.99,4.99,0,,Standard,120 g,https://www.lidl.nl/p/gerookte-wilde-sockeye-zalm/p10033963,2026-09-19,Gerookte wilde Sockeye zalm
LAVAZZA,8.49,8.49,0,,Standard,168 g - 1 kg,https://www.lidl.nl/p/lavazza/p10033965,2026-09-19,LAVAZZA
Volle yoghurt,0.99,1.38,28,Lidl Plus (-28%),Member Deal,,https://www.lidl.nl/p/volle-yoghurt/p10034125,2026-09-19,Volle yoghurt
Diverse afbakbroodjes,0.79,0.98,19,,Standard,,https://www.lidl.nl/p/diverse-afbakbroodjes/p10034127,2026-09-19,Diverse afbakbroodjes
Light jam,1.89,2.29,17,Lidl Plus (-17%),Member Deal,,https://www.lidl.nl/p/light-jam/p10034129,2026-09-19,Light jam
Kipfilet,1.99,1.99,0,Lidl Plus (-23%),Member Deal,,https://www.lidl.nl/p/kipfilet/p10033971,2026-09-19,Kipfilet
Runderrookvlees,2.49,2.85,13,Lidl Plus (-13%),Member Deal,,https://www.lidl.nl/p/runderrookvlees/p10034131,2026-09-19,Runderrookvlees
Gekookte worst,2.19,2.69,19,Lidl Plus (-19%),Member Deal,,https://www.lidl.nl/p/gekookte-worst/p10034133,2026-09-19,Gekookte worst
Diepvries fruit,2.99,2.99,0,,Standard,750 g,https://www.lidl.nl/p/diepvries-fruit/p10033977,2026-09-19,Diepvries fruit
Alle Vita d'or smeerboter,0.49,0.49,0,,Standard,,https://www.lidl.nl/p/alle-vita-d-or-smeerboter/p10034135,2026-09-19,Alle Vita d'or smeerboter
OLD AMSTERDAM Kaasplakken of stuk,3.99,4.79,17,,Standard,205 - 400 g,https://www.lidl.nl/p/old-amsterdam-kaasplakken-of-stuk/p10033981,2026-09-19,OLD AMSTERDAM Kaasplakken of stuk
BAREBELLS ProteÃ¯ne bars,2.29,2.29,0,,Standard,55 g,https://www.lidl.nl/p/barebells-proteine-bars/p10033983,2026-09-19,BAREBELLS ProteÃ¯ne bars
YAKULT Vitals,0.99,0.99,0,,Standard,200 ml,https://www.lidl.nl/p/yakult-vitals/p10033985,2026-09-19,YAKULT Vitals
HEALTHY FIT Vegan proteÃ¯ne poeder,7.49,9.49,21,Lidl Plus (-21%),Member Deal,,https://www.lidl.nl/p/healthy-fit-vegan-proteine-poeder/p10034137,2026-09-19,HEALTHY FIT Vegan proteÃ¯ne poeder
AVIKO Airfryer pommes frites,1.99,2.25,12,,Standard,750 g,https://www.lidl.nl/p/aviko-airfryer-pommes-frites/p10034139,2026-09-19,AVIKO Airfryer pommes frites
Steenovenpizza,2.99,4.89,39,Lidl Plus (Tot -20%),Member Deal,,https://www.lidl.nl/p/steenovenpizza/p10034141,2026-09-19,Steenovenpizza
PRINGLES,0.99,0.99,0,,Standard,70 g,https://www.lidl.nl/p/pringles/p10033993,2026-09-19,PRINGLES
COCA-COLA,3.49,3.49,0,,Standard,,https://www.lidl.nl/p/coca-cola/p10033995,2026-09-19,COCA-COLA
HAK,0.89,0.89,0,,Standard,380 - 400 g,https://www.lidl.nl/p/hak/p10033997,2026-09-19,HAK
Bonenschotel,1.49,1.99,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/bonenschotel/p10033999,2026-09-19,Bonenschotel
IGLO Visticks,2.99,3.37,11,,Standard,Pak 15 stuks,https://www.lidl.nl/p/iglo-visticks/p10034001,2026-09-19,IGLO Visticks
Instant noodles minder zout,2.79,2.79,0,,Standard,6 x 85 g,https://www.lidl.nl/p/instant-noodles-minder-zout/p10034143,2026-09-19,Instant noodles minder zout
MAGGI,0.49,0.49,0,,Standard,,https://www.lidl.nl/p/maggi/p10034005,2026-09-19,MAGGI
Wienerschnitzels,3.99,3.99,0,,Standard,500 g,https://www.lidl.nl/p/wienerschnitzels/p10034007,2026-09-19,Wienerschnitzels
Nasi of bami goreng,2.99,3.89,23,,Standard,1 kg,https://www.lidl.nl/p/nasi-of-bami-goreng/p10034145,2026-09-19,Nasi of bami goreng
Mineraalwater met sportscap,1.99,2.49,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/mineraalwater-met-sportscap/p10034011,2026-09-19,Mineraalwater met sportscap
MAGNUM mini,2.99,2.99,0,,Standard,330 ml,https://www.lidl.nl/p/magnum-mini/p10034013,2026-09-19,MAGNUM mini
Mini star koekjes,1.49,1.99,25,,Standard,6 x 6 stuks,https://www.lidl.nl/p/mini-star-koekjes/p10034147,2026-09-19,Mini star koekjes
SMIRNOFF ICE,2.99,2.99,0,,Standard,"0,7 l",https://www.lidl.nl/p/smirnoff-ice/p10034017,2026-09-19,SMIRNOFF ICE
HEINEKEN pils,16.99,16.99,0,,Standard,"24 x 0,33 l",https://www.lidl.nl/p/heineken-pils/p10034019,2026-09-19,HEINEKEN pils
Gouda Jong belegen stuk,3.99,3.99,0,,Standard,500 g,https://www.lidl.nl/p/gouda-jong-belegen-stuk/p10034021,2026-09-19,Gouda Jong belegen stuk
Gouda Jong belegen geraspte kaas,2.79,2.79,0,,Standard,,https://www.lidl.nl/p/gouda-jong-belegen-geraspte-kaas/p10034023,2026-09-19,Gouda Jong belegen geraspte kaas
Les Richoises Var rosÃ©,3.67,4.89,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/les-richoises-var-rose/p10034149,2026-09-19,Les Richoises Var rosÃ©
Appassimento Puglia Rosso,4.49,5.99,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/appassimento-puglia-rosso/p10034151,2026-09-19,Appassimento Puglia Rosso
Ossenworst,3.89,3.89,0,,Standard,3 x 85 g,https://www.lidl.nl/p/ossenworst/p10034029,2026-09-19,Ossenworst
Boterhamworst,1.49,1.49,0,,Standard,200 g,https://www.lidl.nl/p/boterhamworst/p10034031,2026-09-19,Boterhamworst
ROBIJN Quickwash,4.99,4.99,0,,Standard,837 ml,https://www.lidl.nl/p/robijn-quickwash/p10034033,2026-09-19,ROBIJN Quickwash
ARIEL Pods,8.99,21.98,59,,Standard,30 stuks,https://www.lidl.nl/p/ariel-pods/p10034035,2026-09-19,ARIEL Pods
Crunchy yoghurt,3.99,3.99,0,,Standard,6 x 175 g,https://www.lidl.nl/p/crunchy-yoghurt/p10034037,2026-09-19,Crunchy yoghurt
Slagersachterham,2.19,2.19,0,,Standard,,https://www.lidl.nl/p/slagersachterham/p10034039,2026-09-19,Slagersachterham
Turkse stijl halal pizza,3.39,3.39,0,,Standard,4 stuks,https://www.lidl.nl/p/turkse-stijl-halal-pizza/p10034041,2026-09-19,Turkse stijl halal pizza
High protein drink,1.19,1.19,0,,Standard,420 ml,https://www.lidl.nl/p/high-protein-drink/p10034043,2026-09-19,High protein drink
Mozzarella,1.49,1.49,0,,Standard,250 g,https://www.lidl.nl/p/mozzarella/p10034045,2026-09-19,Mozzarella
Kokosmelk,2.99,2.99,0,,Standard,3 x 250 ml,https://www.lidl.nl/p/kokosmelk/p10034047,2026-09-19,Kokosmelk
Hamblokjes,2.69,2.69,0,,Standard,2 x 200 g,https://www.lidl.nl/p/hamblokjes/p10034049,2026-09-19,Hamblokjes
Kreukelfriet,4.29,4.29,0,,Standard,"2,5 kilo",https://www.lidl.nl/p/kreukelfriet/p10034051,2026-09-19,Kreukelfriet
Mini krieltjes naturel,1.59,1.59,0,,Standard,1 kilo,https://www.lidl.nl/p/mini-krieltjes-naturel/p10034162,2026-09-19,Mini krieltjes naturel
Roerbakgroenten,2.29,2.29,0,,Standard,600 g,https://www.lidl.nl/p/roerbakgroenten/p10034053,2026-09-19,Roerbakgroenten
Kordaat premium pils,4.99,4.99,0,,Standard,"12 x 0,33 l",https://www.lidl.nl/p/kordaat-premium-pils/p10034055,2026-09-19,Kordaat premium pils
Notenvruchtenmix,4.49,4.49,0,,Standard,Halve kilo,https://www.lidl.nl/p/notenvruchtenmix/p10034057,2026-09-19,Notenvruchtenmix
Gevulde koeken,2.49,2.49,0,,Standard,600 g,https://www.lidl.nl/p/gevulde-koeken/p10034059,2026-09-19,Gevulde koeken
Hot krokantjes,2.49,2.49,0,,Standard,275 g,https://www.lidl.nl/p/hot-krokantjes/p10034061,2026-09-19,Hot krokantjes
Snackmix,3.49,3.49,0,,Standard,Halve kilo,https://www.lidl.nl/p/snackmix/p10034063,2026-09-19,Snackmix
Melkchocolade met hazelnoot,3.79,3.79,0,,Standard,3 x 100 g,https://www.lidl.nl/p/melkchocolade-met-hazelnoot/p10034065,2026-09-19,Melkchocolade met hazelnoot
