scraped_aisle,items_found,bonus_items,title_eng
bakkerij,327,84,bakery
bier-wijn-aperitieven,470,317,beer-wine aperitifs
borrel-chips-snacks,147,73,drinks-chips-snacks
diepvries,181,59,freezer
drogisterij,108,70,drugstore
frisdrank-sappen-water,363,188,soft drinks-juices-water
fruit-verse-sappen,39,17,fresh fruit juices
gezondheid-en-sport,39,7,health-and-sports
glutenvrij,38,13,gluten-free
groente-aardappelen,432,103,vegetable potatoes
huishouden,615,333,households
kaas,75,36,cheese
koffie-thee,219,104,coffee-tea
maaltijden-salades,36,19,meals-salads
tussendoortjes,146,68,snacks
vegetarisch-vegan-en-plantaardig,616,246,vegetarian-vegan-and-plant-based
zuivel-eieren,39,5,dairy eggs
