scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1559,533,bakkerij
bier-wijn-aperitieven,218,166,bier-wijn-aperitieven
borrel-chips-snacks,2668,1318,borrel-chips-snacks
diepvries,1183,390,diepvries
drogisterij,2991,2453,drogisterij
frisdrank-sappen-water,2091,1058,frisdrank-sappen-water
fruit-verse-sappen,584,288,fruit-verse-sappen
gezondheid-en-sport,1328,562,gezondheid-en-sport
glutenvrij,389,177,glutenvrij
groente-aardappelen,360,110,groente-aardappelen
huishouden,1505,870,huishouden
kaas,1168,668,kaas
koek-snoep-chocolade,2862,1196,koek-snoep-chocolade
koffie-thee,1151,577,koffie-thee
koken-tafelen-vrije-tijd,615,303,koken-tafelen-vrije-tijd
maaltijden-salades,829,495,maaltijden-salades
ontbijtgranen-beleg,2244,1048,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,1981,847,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1450,soepen-sauzen-kruiden-olie
tussendoortjes,1264,730,tussendoortjes
vegetarisch-vegan-en-plantaardig,609,277,vegetarisch-vegan-en-plantaardig
vis,648,375,vis
vlees,1390,803,vlees
vleeswaren,108,58,vleeswaren
zuivel-eieren,1887,1006,zuivel-eieren
