scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1558,481,bakkerij
bier-wijn-aperitieven,2988,1855,bier-wijn-aperitieven
borrel-chips-snacks,2672,1219,borrel-chips-snacks
diepvries,1171,334,diepvries
drogisterij,2990,2150,drogisterij
frisdrank-sappen-water,2088,964,frisdrank-sappen-water
fruit-verse-sappen,588,277,fruit-verse-sappen
gezondheid-en-sport,1324,447,gezondheid-en-sport
glutenvrij,399,172,glutenvrij
groente-aardappelen,1146,312,groente-aardappelen
huishouden,1510,703,huishouden
kaas,1168,652,kaas
koek-snoep-chocolade,2862,1095,koek-snoep-chocolade
koffie-thee,1155,472,koffie-thee
koken-tafelen-vrije-tijd,1617,789,koken-tafelen-vrije-tijd
maaltijden-salades,834,449,maaltijden-salades
ontbijtgranen-beleg,2251,955,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2002,748,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1262,soepen-sauzen-kruiden-olie
tussendoortjes,1265,678,tussendoortjes
vegetarisch-vegan-en-plantaardig,609,213,vegetarisch-vegan-en-plantaardig
vis,649,344,vis
vlees,1392,771,vlees
vleeswaren,1077,622,vleeswaren
zuivel-eieren,1889,861,zuivel-eieren
