scraped_aisle,items_found,aisle_eng
bakkerij,1200,bakery
borrel-chips-snacks,1326,drinks-chips-snacks
drogisterij,55,drugstore
glutenvrij,235,gluten free
huishouden,598,households
kaas,132,cheese
koek-snoep-chocolade,737,cookie-candy-chocolate
koken-tafelen-vrije-tijd,98,cooking-dining-free-time
maaltijden-salades,522,meals-salads
ontbijtgranen-beleg,301,breakfast cereal toppings
pasta-rijst-wereldkeuken,1470,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,1280,soups-sauces-herbs-oil
vegetarisch-vegan-en-plantaardig,447,vegetarian-vegan-and-plant-based
vis,142,fish
vlees,670,meat
vleeswaren,657,cold cuts
