scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1560,533,bakery
bier-wijn-aperitieven,2990,2030,beer-wine aperitifs
borrel-chips-snacks,2666,1318,drinks-chips-snacks
diepvries,1183,390,freezer
drogisterij,2991,2453,drugstore
frisdrank-sappen-water,2091,1058,soft drinks-juices-water
fruit-verse-sappen,182,91,fresh fruit juices
gezondheid-en-sport,1329,562,health-and-sports
glutenvrij,392,177,gluten-free
groente-aardappelen,1139,403,vegetable potatoes
huishouden,1505,871,households
kaas,1168,668,cheese
koek-snoep-chocolade,2865,1197,cookie-candy-chocolate
koffie-thee,1152,577,coffee-tea
koken-tafelen-vrije-tijd,1725,992,cooking-dining-free-time
maaltijden-salades,829,495,meals-salads
ontbijtgranen-beleg,2244,1048,breakfast cereal toppings
pasta-rijst-wereldkeuken,2005,859,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,2991,1449,soups-sauces-herbs-oil
tussendoortjes,1266,732,snacks
vegetarisch-vegan-en-plantaardig,609,277,vegetarian-vegan-and-plant-based
vis,648,375,fish
vlees,1396,806,meat
vleeswaren,1077,655,cold cuts
zuivel-eieren,1887,1007,dairy eggs
