scraped_aisle,items_found,bonus_items,title_eng
bakkerij,615,218,bakery
borrel-chips-snacks,399,198,drinks-chips-snacks
diepvries,109,32,freezer
drogisterij,972,767,drugstore
frisdrank-sappen-water,74,39,soft drinks-juices-water
gezondheid-en-sport,75,19,health-and-sports
glutenvrij,403,157,gluten free
groente-aardappelen,792,240,vegetable potatoes
huishouden,1407,604,households
kaas,1119,637,cheese
koek-snoep-chocolade,542,218,cookie-candy-chocolate
koffie-thee,39,14,coffee-tea
koken-tafelen-vrije-tijd,39,6,cooking-dining-free-time
ontbijtgranen-beleg,183,79,breakfast cereal toppings
pasta-rijst-wereldkeuken,73,26,pasta-rice-world cuisine
tussendoortjes,38,16,snacks
vegetarisch-vegan-en-plantaardig,325,145,vegetarian-vegan-and-plant-based
vis,39,25,fish
vlees,252,133,meat
vleeswaren,792,449,cold cuts
zuivel-eieren,579,252,dairy eggs
