scraped_aisle,items_found,bonus_items,title_eng
bakkerij,39,4,bakery
bier-wijn-aperitieven,38,27,beer-wine aperitifs
borrel-chips-snacks,289,138,drinks-chips-snacks
drogisterij,111,66,drugstore
frisdrank-sappen-water,183,103,soft drinks-juices-water
gezondheid-en-sport,723,206,health-and-sports
glutenvrij,182,90,gluten free
huishouden,255,166,households
kaas,543,310,cheese
koek-snoep-chocolade,38,13,cookie-candy-chocolate
koffie-thee,74,32,coffee-tea
koken-tafelen-vrije-tijd,1069,400,cooking-dining-free-time
maaltijden-salades,288,158,meals-salads
pasta-rijst-wereldkeuken,324,135,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,39,11,soups-sauces-herbs-oil
tussendoortjes,39,17,snacks
vegetarisch-vegan-en-plantaardig,37,14,vegetarian-vegan-and-plant-based
vis,288,164,fish
vlees,36,25,meat
