scraped_aisle,items_found,aisle_eng
bakkerij,1203,bakery
bier-wijn-aperitieven,2239,beer-wine aperitifs
borrel-chips-snacks,1331,drinks-chips-snacks
diepvries,992,freezer
drogisterij,1990,drugstore
frisdrank-sappen-water,1449,soft drinks-juices-water
fruit-verse-sappen,431,fresh fruit juices
gezondheid-en-sport,1253,health-and-sports
glutenvrij,235,gluten free
groente-aardappelen,992,vegetable potatoes
huishouden,1113,households
kaas,687,cheese
koek-snoep-chocolade,2281,cookie-candy-chocolate
koffie-thee,952,coffee-tea
koken-tafelen-vrije-tijd,931,cooking-dining-free-time
maaltijden-salades,537,meals-salads
ontbijtgranen-beleg,1345,breakfast cereal toppings
pasta-rijst-wereldkeuken,1464,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,2422,soups-sauces-herbs-oil
tussendoortjes,947,snacks
vegetarisch-vegan-en-plantaardig,484,vegetarian-vegan-and-plant-based
vis,382,fish
vlees,668,meat
vleeswaren,657,cold cuts
zuivel-eieren,1393,dairy eggs
