scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1566,507,bakkerij
bier-wijn-aperitieven,2991,1759,bier-wijn-aperitieven
borrel-chips-snacks,2678,1368,borrel-chips-snacks
diepvries,1236,336,diepvries
drogisterij,2990,1987,drogisterij
frisdrank-sappen-water,2021,956,frisdrank-sappen-water
fruit-verse-sappen,566,251,fruit-verse-sappen
gezondheid-en-sport,1323,278,gezondheid-en-sport
glutenvrij,403,174,glutenvrij
groente-aardappelen,1128,305,groente-aardappelen
huishouden,1480,922,huishouden
kaas,1170,654,kaas
koek-snoep-chocolade,2854,981,koek-snoep-chocolade
koffie-thee,1140,460,koffie-thee
koken-tafelen-vrije-tijd,1760,963,koken-tafelen-vrije-tijd
maaltijden-salades,815,496,maaltijden-salades
ontbijtgranen-beleg,2243,1017,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2012,851,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1230,soepen-sauzen-kruiden-olie
tussendoortjes,1267,533,tussendoortjes
vegetarisch-vegan-en-plantaardig,604,294,vegetarisch-vegan-en-plantaardig
vis,643,344,vis
vlees,1392,721,vlees
vleeswaren,1066,634,vleeswaren
zuivel-eieren,1886,831,zuivel-eieren
