scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1556,615,bakkerij
bier-wijn-aperitieven,2991,1907,bier-wijn-aperitieven
borrel-chips-snacks,2669,1343,borrel-chips-snacks
diepvries,1231,439,diepvries
drogisterij,2991,2109,drogisterij
frisdrank-sappen-water,1881,812,frisdrank-sappen-water
fruit-verse-sappen,557,285,fruit-verse-sappen
gezondheid-en-sport,1309,280,gezondheid-en-sport
glutenvrij,401,304,glutenvrij
groente-aardappelen,1104,324,groente-aardappelen
huishouden,1478,723,huishouden
kaas,1168,670,kaas
koek-snoep-chocolade,2929,1158,koek-snoep-chocolade
koffie-thee,1138,652,koffie-thee
koken-tafelen-vrije-tijd,1796,1011,koken-tafelen-vrije-tijd
maaltijden-salades,797,478,maaltijden-salades
ontbijtgranen-beleg,2226,1095,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2002,915,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1353,soepen-sauzen-kruiden-olie
tussendoortjes,1262,655,tussendoortjes
vegetarisch-vegan-en-plantaardig,586,339,vegetarisch-vegan-en-plantaardig
vis,615,321,vis
vlees,1275,757,vlees
vleeswaren,1046,631,vleeswaren
zuivel-eieren,2001,1015,zuivel-eieren
