scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1575,561,bakkerij
bier-wijn-aperitieven,2988,2066,bier-wijn-aperitieven
borrel-chips-snacks,2689,1455,borrel-chips-snacks
diepvries,1234,392,diepvries
drogisterij,2991,2396,drogisterij
frisdrank-sappen-water,2074,1120,frisdrank-sappen-water
fruit-verse-sappen,585,284,fruit-verse-sappen
gezondheid-en-sport,1327,387,gezondheid-en-sport
glutenvrij,406,182,glutenvrij
groente-aardappelen,1119,383,groente-aardappelen
huishouden,1492,1091,huishouden
kaas,1170,672,kaas
koek-snoep-chocolade,2878,1106,koek-snoep-chocolade
koffie-thee,1156,565,koffie-thee
koken-tafelen-vrije-tijd,1788,1066,koken-tafelen-vrije-tijd
maaltijden-salades,806,524,maaltijden-salades
ontbijtgranen-beleg,2091,1067,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2008,958,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1439,soepen-sauzen-kruiden-olie
tussendoortjes,1262,590,tussendoortjes
vegetarisch-vegan-en-plantaardig,607,359,vegetarisch-vegan-en-plantaardig
vis,648,391,vis
vlees,1389,765,vlees
vleeswaren,1066,671,vleeswaren
zuivel-eieren,1887,985,zuivel-eieren
