scraped_aisle,items_found,bonus_items,title_eng
bakkerij,435,129,bakery
bier-wijn-aperitieven,399,266,beer-wine aperitifs
diepvries,218,87,freezer
drogisterij,1191,805,drugstore
frisdrank-sappen-water,327,191,soft drinks-juices-water
fruit-verse-sappen,39,21,fresh fruit juices
gezondheid-en-sport,147,47,health-and-sports
glutenvrij,74,40,gluten-free
groente-aardappelen,756,186,vegetable potatoes
huishouden,471,297,households
kaas,687,389,cheese
koek-snoep-chocolade,290,115,cookie-candy-chocolate
koffie-thee,183,90,coffee-tea
koken-tafelen-vrije-tijd,75,22,cooking-dining-free-time
maaltijden-salades,144,81,meals-salads
ontbijtgranen-beleg,723,317,breakfast cereal toppings
pasta-rijst-wereldkeuken,144,60,pasta-rice-world cuisine
tussendoortjes,75,37,snacks
vegetarisch-vegan-en-plantaardig,325,140,vegetarian-vegan-and-plant-based
vis,36,24,fish
vleeswaren,360,186,cold cuts
