scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1567,538,bakery
bier-wijn-aperitieven,327,250,beer-wine aperitifs
borrel-chips-snacks,2697,1421,drinks-chips-snacks
frisdrank-sappen-water,39,20,soft drinks-juices-water
fruit-verse-sappen,532,257,fresh fruit juices
gezondheid-en-sport,111,28,health-and-sports
glutenvrij,404,173,gluten free
groente-aardappelen,144,35,vegetable potatoes
huishouden,147,86,households
kaas,111,53,cheese
koek-snoep-chocolade,74,29,cookie-candy-chocolate
koffie-thee,507,287,coffee-tea
koken-tafelen-vrije-tijd,39,7,cooking-dining-free-time
maaltijden-salades,825,479,meals-salads
ontbijtgranen-beleg,183,79,breakfast cereal toppings
pasta-rijst-wereldkeuken,144,63,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,1695,966,soups-sauces-herbs-oil
vegetarisch-vegan-en-plantaardig,145,78,vegetarian-vegan-and-plant-based
vis,682,426,fish
vlees,396,240,meat
vleeswaren,324,185,cold cuts
zuivel-eieren,471,210,dairy eggs
