scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1575,542,bakkerij
bier-wijn-aperitieven,2990,1878,bier-wijn-aperitieven
borrel-chips-snacks,2691,1248,borrel-chips-snacks
diepvries,1234,330,diepvries
drogisterij,2991,2248,drogisterij
frisdrank-sappen-water,2074,934,frisdrank-sappen-water
fruit-verse-sappen,584,269,fruit-verse-sappen
gezondheid-en-sport,1327,377,gezondheid-en-sport
glutenvrij,404,185,glutenvrij
groente-aardappelen,1139,297,groente-aardappelen
huishouden,1471,647,huishouden
kaas,1170,617,kaas
koek-snoep-chocolade,2878,996,koek-snoep-chocolade
koffie-thee,1157,486,koffie-thee
koken-tafelen-vrije-tijd,1704,975,koken-tafelen-vrije-tijd
maaltijden-salades,828,439,maaltijden-salades
ontbijtgranen-beleg,2245,966,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2007,771,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1291,soepen-sauzen-kruiden-olie
tussendoortjes,1264,542,tussendoortjes
vegetarisch-vegan-en-plantaardig,609,255,vegetarisch-vegan-en-plantaardig
vis,648,341,vis
vlees,1393,744,vlees
vleeswaren,1064,620,vleeswaren
zuivel-eieren,507,220,zuivel-eieren
