scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1560,533,bakkerij
bier-wijn-aperitieven,2990,2032,bier-wijn-aperitieven
borrel-chips-snacks,2668,1318,borrel-chips-snacks
diepvries,1183,390,diepvries
drogisterij,2991,2449,drogisterij
frisdrank-sappen-water,2091,1058,frisdrank-sappen-water
fruit-verse-sappen,584,288,fruit-verse-sappen
gezondheid-en-sport,1329,562,gezondheid-en-sport
glutenvrij,392,177,glutenvrij
groente-aardappelen,1139,403,groente-aardappelen
huishouden,1505,871,huishouden
kaas,1168,668,kaas
koek-snoep-chocolade,2864,1195,koek-snoep-chocolade
koffie-thee,1153,577,koffie-thee
koken-tafelen-vrije-tijd,1722,992,koken-tafelen-vrije-tijd
maaltijden-salades,829,495,maaltijden-salades
ontbijtgranen-beleg,2244,1048,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2006,859,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1449,soepen-sauzen-kruiden-olie
tussendoortjes,1266,731,tussendoortjes
vegetarisch-vegan-en-plantaardig,609,277,vegetarisch-vegan-en-plantaardig
vis,648,375,vis
vlees,1396,806,vlees
vleeswaren,1077,655,vleeswaren
zuivel-eieren,1887,1006,zuivel-eieren
