scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1546,536,bakkerij
bier-wijn-aperitieven,2991,1764,bier-wijn-aperitieven
borrel-chips-snacks,2656,1272,borrel-chips-snacks
diepvries,1230,311,diepvries
drogisterij,2991,1995,drogisterij
frisdrank-sappen-water,1973,830,frisdrank-sappen-water
fruit-verse-sappen,565,259,fruit-verse-sappen
gezondheid-en-sport,1323,289,gezondheid-en-sport
glutenvrij,401,183,glutenvrij
groente-aardappelen,1118,298,groente-aardappelen
huishouden,1452,581,huishouden
kaas,1165,639,kaas
koek-snoep-chocolade,2858,1019,koek-snoep-chocolade
koffie-thee,1138,443,koffie-thee
koken-tafelen-vrije-tijd,1772,1004,koken-tafelen-vrije-tijd
maaltijden-salades,812,420,maaltijden-salades
ontbijtgranen-beleg,1155,577,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2017,805,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1311,soepen-sauzen-kruiden-olie
tussendoortjes,73,37,tussendoortjes
vegetarisch-vegan-en-plantaardig,583,240,vegetarisch-vegan-en-plantaardig
vis,617,301,vis
vlees,1296,688,vlees
vleeswaren,1041,590,vleeswaren
zuivel-eieren,2002,916,zuivel-eieren
