scraped_aisle,items_found,bonus_items,title_eng
bier-wijn-aperitieven,1227,898,beer-wine aperitifs
borrel-chips-snacks,111,63,drinks-chips-snacks
diepvries,1010,368,freezer
drogisterij,39,30,drugstore
fruit-verse-sappen,146,76,fresh fruit juices
gezondheid-en-sport,651,219,health-and-sports
glutenvrij,402,169,gluten-free
groente-aardappelen,900,319,vegetable potatoes
kaas,471,280,cheese
koek-snoep-chocolade,507,230,cookie-candy-chocolate
koffie-thee,183,109,coffee-tea
maaltijden-salades,36,20,meals-salads
ontbijtgranen-beleg,39,12,breakfast cereal toppings
pasta-rijst-wereldkeuken,36,10,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,327,180,soups-sauces-herbs-oil
tussendoortjes,110,56,snacks
vegetarisch-vegan-en-plantaardig,469,204,vegetarian-vegan-and-plant-based
vis,683,427,fish
vlees,180,113,meat
vleeswaren,144,83,cold cuts
zuivel-eieren,147,46,dairy eggs
