scraped_aisle,items_found,bonus_items,title_eng
bakkerij,75,14,bakery
bier-wijn-aperitieven,38,27,beer-wine aperitifs
diepvries,326,124,freezer
frisdrank-sappen-water,255,149,soft drinks-juices-water
gezondheid-en-sport,39,10,health-and-sports
glutenvrij,38,20,gluten free
groente-aardappelen,36,3,vegetable potatoes
huishouden,1299,669,households
kaas,75,34,cheese
koffie-thee,39,16,coffee-tea
koken-tafelen-vrije-tijd,75,21,cooking-dining-free-time
maaltijden-salades,324,183,meals-salads
pasta-rijst-wereldkeuken,468,205,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,75,28,soups-sauces-herbs-oil
tussendoortjes,75,37,snacks
vegetarisch-vegan-en-plantaardig,73,36,vegetarian-vegan-and-plant-based
vis,72,44,fish
vleeswaren,648,363,cold cuts
zuivel-eieren,507,220,dairy eggs
