scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1573,561,bakkerij
bier-wijn-aperitieven,2988,2067,bier-wijn-aperitieven
borrel-chips-snacks,2689,1455,borrel-chips-snacks
diepvries,1234,391,diepvries
drogisterij,2991,2397,drogisterij
frisdrank-sappen-water,2074,1121,frisdrank-sappen-water
fruit-verse-sappen,585,284,fruit-verse-sappen
gezondheid-en-sport,1327,387,gezondheid-en-sport
glutenvrij,404,182,glutenvrij
groente-aardappelen,1119,383,groente-aardappelen
huishouden,1489,1088,huishouden
kaas,1170,672,kaas
koek-snoep-chocolade,2876,1106,koek-snoep-chocolade
koffie-thee,1157,565,koffie-thee
koken-tafelen-vrije-tijd,1785,1063,koken-tafelen-vrije-tijd
maaltijden-salades,806,524,maaltijden-salades
ontbijtgranen-beleg,2245,1110,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,1981,948,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1439,soepen-sauzen-kruiden-olie
tussendoortjes,1264,590,tussendoortjes
vegetarisch-vegan-en-plantaardig,607,359,vegetarisch-vegan-en-plantaardig
vis,648,391,vis
vlees,1388,765,vlees
vleeswaren,1066,671,vleeswaren
zuivel-eieren,1887,985,zuivel-eieren
