scraped_aisle,items_found,bonus_items,title_eng
bakkerij,147,40,bakkerij
bier-wijn-aperitieven,1227,827,bier-wijn-aperitieven
diepvries,1186,288,diepvries
drogisterij,2991,2449,drogisterij
frisdrank-sappen-water,2072,1049,frisdrank-sappen-water
fruit-verse-sappen,533,276,fruit-verse-sappen
gezondheid-en-sport,1264,356,gezondheid-en-sport
groente-aardappelen,1093,318,groente-aardappelen
huishouden,1554,772,huishouden
kaas,1189,702,kaas
koek-snoep-chocolade,578,272,koek-snoep-chocolade
koffie-thee,1155,493,koffie-thee
koken-tafelen-vrije-tijd,1491,736,koken-tafelen-vrije-tijd
maaltijden-salades,835,523,maaltijden-salades
ontbijtgranen-beleg,75,31,ontbijtgranen-beleg
soepen-sauzen-kruiden-olie,2991,1253,soepen-sauzen-kruiden-olie
tussendoortjes,1246,653,tussendoortjes
vegetarisch-vegan-en-plantaardig,616,265,vegetarisch-vegan-en-plantaardig
vis,672,387,vis
vlees,1395,770,vlees
vleeswaren,1082,657,vleeswaren
zuivel-eieren,1893,872,zuivel-eieren
