scraped_aisle,items_found,aisle_eng
bakkerij,1205,bakery
bier-wijn-aperitieven,2240,beer-wine aperitifs
borrel-chips-snacks,700,drinks-chips-snacks
diepvries,630,freezer
drogisterij,1926,drugstore
fruit-verse-sappen,424,fresh fruit juices
glutenvrij,235,gluten free
groente-aardappelen,989,vegetable potatoes
huishouden,93,households
kaas,689,cheese
koek-snoep-chocolade,2272,cookie-candy-chocolate
maaltijden-salades,525,meals-salads
ontbijtgranen-beleg,949,breakfast cereal toppings
pasta-rijst-wereldkeuken,1476,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,1046,soups-sauces-herbs-oil
vegetarisch-vegan-en-plantaardig,180,vegetarian-vegan-and-plant-based
vis,97,fish
vlees,670,meat
zuivel-eieren,1439,dairy eggs
