scraped_aisle,items_found,bonus_items,title_eng
bakkerij,75,10,bakery
bier-wijn-aperitieven,75,53,beer-wine aperitifs
borrel-chips-snacks,39,18,drinks-chips-snacks
diepvries,75,21,freezer
drogisterij,399,311,drugstore
frisdrank-sappen-water,39,21,soft drinks-juices-water
fruit-verse-sappen,38,20,fresh fruit juices
glutenvrij,36,13,gluten free
groente-aardappelen,36,4,vegetable potatoes
koek-snoep-chocolade,38,13,cookie-candy-chocolate
koken-tafelen-vrije-tijd,219,92,cooking-dining-free-time
pasta-rijst-wereldkeuken,36,11,pasta-rice-world cuisine
tussendoortjes,218,108,snacks
vegetarisch-vegan-en-plantaardig,37,12,vegetarian-vegan-and-plant-based
vis,363,208,fish
vleeswaren,72,37,cold cuts
zuivel-eieren,507,213,dairy eggs
