scraped_aisle,items_found,aisle_eng
bakkerij,1206,bakery
bier-wijn-aperitieven,2242,beer-wine aperitifs
borrel-chips-snacks,1331,drinks-chips-snacks
diepvries,997,freezer
drogisterij,1999,drugstore
frisdrank-sappen-water,396,soft drinks-juices-water
fruit-verse-sappen,424,fresh fruit juices
gezondheid-en-sport,1256,health-and-sports
glutenvrij,235,gluten-free
groente-aardappelen,989,vegetable potatoes
huishouden,1163,households
kaas,689,cheese
koek-snoep-chocolade,2272,cookie-candy-chocolate
koffie-thee,956,coffee-tea
koken-tafelen-vrije-tijd,935,cooking-dining-free-time
maaltijden-salades,525,meals-salads
ontbijtgranen-beleg,1350,breakfast cereal toppings
pasta-rijst-wereldkeuken,1103,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,2459,soups-sauces-herbs-oil
tussendoortjes,969,snacks
vegetarisch-vegan-en-plantaardig,296,vegetarian-vegan-and-plant-based
vis,382,fish
vlees,670,meat
vleeswaren,657,cold cuts
zuivel-eieren,1439,dairy eggs
