scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1560,486,bakkerij
bier-wijn-aperitieven,2988,1853,bier-wijn-aperitieven
borrel-chips-snacks,2666,1230,borrel-chips-snacks
diepvries,1181,343,diepvries
drogisterij,2989,2150,drogisterij
frisdrank-sappen-water,2089,953,frisdrank-sappen-water
fruit-verse-sappen,585,272,fruit-verse-sappen
gezondheid-en-sport,1324,447,gezondheid-en-sport
glutenvrij,398,185,glutenvrij
groente-aardappelen,1145,312,groente-aardappelen
huishouden,1499,704,huishouden
kaas,1168,650,kaas
koek-snoep-chocolade,2864,1095,koek-snoep-chocolade
koffie-thee,1154,472,koffie-thee
koken-tafelen-vrije-tijd,1681,877,koken-tafelen-vrije-tijd
maaltijden-salades,836,449,maaltijden-salades
ontbijtgranen-beleg,2252,966,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2001,756,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1263,soepen-sauzen-kruiden-olie
tussendoortjes,1265,685,tussendoortjes
vegetarisch-vegan-en-plantaardig,609,213,vegetarisch-vegan-en-plantaardig
vis,648,344,vis
vlees,1396,782,vlees
vleeswaren,1077,622,vleeswaren
zuivel-eieren,1889,861,zuivel-eieren
