scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1560,486,bakkerij
bier-wijn-aperitieven,2988,1852,bier-wijn-aperitieven
borrel-chips-snacks,2666,1230,borrel-chips-snacks
diepvries,1183,343,diepvries
drogisterij,2990,2155,drogisterij
frisdrank-sappen-water,2089,953,frisdrank-sappen-water
fruit-verse-sappen,584,270,fruit-verse-sappen
gezondheid-en-sport,1324,447,gezondheid-en-sport
glutenvrij,396,182,glutenvrij
groente-aardappelen,1139,312,groente-aardappelen
huishouden,1499,703,huishouden
kaas,1168,651,kaas
koek-snoep-chocolade,2864,1095,koek-snoep-chocolade
koffie-thee,1155,472,koffie-thee
koken-tafelen-vrije-tijd,1685,877,koken-tafelen-vrije-tijd
maaltijden-salades,830,449,maaltijden-salades
ontbijtgranen-beleg,2250,963,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2006,756,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1264,soepen-sauzen-kruiden-olie
tussendoortjes,1266,685,tussendoortjes
vegetarisch-vegan-en-plantaardig,609,213,vegetarisch-vegan-en-plantaardig
vis,648,344,vis
vlees,1396,782,vlees
vleeswaren,1077,622,vleeswaren
zuivel-eieren,1890,861,zuivel-eieren
