scraped_aisle,items_found,bonus_items,title_eng
bakkerij,255,86,bakery
bier-wijn-aperitieven,468,346,beer-wine aperitifs
borrel-chips-snacks,110,59,drinks-chips-snacks
diepvries,38,8,freezer
drogisterij,36,28,drugstore
frisdrank-sappen-water,398,230,soft drinks-juices-water
fruit-verse-sappen,74,38,fresh fruit juices
glutenvrij,402,240,gluten-free
groente-aardappelen,792,285,vegetable potatoes
huishouden,399,264,households
kaas,39,15,cheese
koek-snoep-chocolade,38,11,cookie-candy-chocolate
maaltijden-salades,72,56,meals-salads
ontbijtgranen-beleg,291,152,breakfast cereal toppings
pasta-rijst-wereldkeuken,109,57,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,75,35,soups-sauces-herbs-oil
vegetarisch-vegan-en-plantaardig,543,223,vegetarian-vegan-and-plant-based
vis,682,382,fish
vlees,108,63,meat
vleeswaren,72,41,cold cuts
zuivel-eieren,1227,610,dairy eggs
