scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1558,598,bakkerij
bier-wijn-aperitieven,2988,1728,bier-wijn-aperitieven
borrel-chips-snacks,866,409,borrel-chips-snacks
diepvries,1185,261,diepvries
drogisterij,2989,2185,drogisterij
frisdrank-sappen-water,2072,925,frisdrank-sappen-water
fruit-verse-sappen,533,218,fruit-verse-sappen
gezondheid-en-sport,1264,314,gezondheid-en-sport
glutenvrij,401,246,glutenvrij
groente-aardappelen,1095,268,groente-aardappelen
huishouden,1558,703,huishouden
kaas,1189,661,kaas
koek-snoep-chocolade,2724,965,koek-snoep-chocolade
koffie-thee,1156,412,koffie-thee
koken-tafelen-vrije-tijd,1495,722,koken-tafelen-vrije-tijd
maaltijden-salades,835,482,maaltijden-salades
ontbijtgranen-beleg,291,134,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2009,799,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1241,soepen-sauzen-kruiden-olie
tussendoortjes,1196,626,tussendoortjes
vegetarisch-vegan-en-plantaardig,619,205,vegetarisch-vegan-en-plantaardig
vis,678,338,vis
vlees,1414,748,vlees
vleeswaren,1082,645,vleeswaren
zuivel-eieren,1893,790,zuivel-eieren
