scraped_aisle,items_found,bonus_items,title_eng
bakkerij,39,3,bakery
bier-wijn-aperitieven,111,80,beer-wine aperitifs
frisdrank-sappen-water,398,205,soft drinks-juices-water
fruit-verse-sappen,74,33,fresh fruit juices
gezondheid-en-sport,39,7,health-and-sports
glutenvrij,39,13,gluten-free
groente-aardappelen,288,52,vegetable potatoes
huishouden,435,247,households
kaas,255,136,cheese
koffie-thee,147,67,coffee-tea
koken-tafelen-vrije-tijd,39,6,cooking-dining-free-time
maaltijden-salades,396,237,meals-salads
ontbijtgranen-beleg,111,43,breakfast cereal toppings
pasta-rijst-wereldkeuken,73,26,pasta-rice-world cuisine
vegetarisch-vegan-en-plantaardig,469,198,vegetarian-vegan-and-plant-based
vlees,108,56,meat
vleeswaren,72,37,cold cuts
zuivel-eieren,111,27,dairy eggs
