title,price,old_price,discount_percent,discount_label,deal_type,unit,url,scraped_at,title_eng
Notenmelange,3.49,3.49,0,,Standard,300 g,https://www.lidl.nl/p/notenmelange/p10033221,2026-09-03,Notenmelange
Koffiecapsules,6.99,6.99,0,,Standard,50 cups,https://www.lidl.nl/p/koffiecapsules/p10033091,2026-09-03,Koffiecapsules
Pinot Grigio Ros̩,2.99,3.99,25,Lidl Plus (-25%),Member Deal,,https://www.lidl.nl/p/pinot-grigio-rose/p10033093,2026-09-03,Pinot Grigio Ros̩
LAY'S,1.99,1.99,0,,Standard,370 g,https://www.lidl.nl/p/lay-s/p10033095,2026-09-03,LAY'S
Jong belegen kaasplakken,3.49,3.49,0,,Standard,500 g,https://www.lidl.nl/p/jong-belegen-kaasplakken/p10033097,2026-09-03,Jong belegen kaasplakken
Frituurolie,8.49,8.49,0,,Standard,5 liter,https://www.lidl.nl/p/frituurolie/p10033099,2026-09-03,Frituurolie
BEN & JERRY'S,3.49,7.29,52,,Standard,465 ml,https://www.lidl.nl/p/ben-jerry-s/p10033101,2026-09-03,BEN & JERRY'S
Kipdijfilet,3.49,4.89,29,Lidl Plus (-29%),Member Deal,,https://www.lidl.nl/p/kipdijfilet/p10033223,2026-09-03,Kipdijfilet
Bio Fairtrade bananen,1.49,2.19,32,,Standard,Per kg,https://www.lidl.nl/p/bio-fairtrade-bananen/p10033225,2026-09-03,Bio Fairtrade bananen
Mini komkommers,1.99,2.99,33,,Standard,500 g,https://www.lidl.nl/p/mini-komkommers/p10033227,2026-09-03,Mini komkommers
Meergranenbollen,1.49,1.49,0,,Standard,8 stuks,https://www.lidl.nl/p/meergranenbollen/p10033109,2026-09-03,Meergranenbollen
Snackworteltjes,0.49,0.79,38,Lidl Plus (-38%),Member Deal,,https://www.lidl.nl/p/snackworteltjes/p10033229,2026-09-03,Snackworteltjes
Zuivelspread,0.99,1.38,28,,Standard,200-300 g,https://www.lidl.nl/p/zuivelspread/p10033231,2026-09-03,Zuivelspread
Hollandse aardbeien,2.39,2.99,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/hollandse-aardbeien/p10032014,2026-09-03,Hollandse aardbeien
Aardappelen kruimig,5.99,5.99,0,,Standard,10 kilo,https://www.lidl.nl/p/aardappelen-kruimig/p10033115,2026-09-03,Aardappelen kruimig
Verse kruiden,1.39,1.39,0,Lidl Plus (Tot -30%),Member Deal,,https://www.lidl.nl/p/verse-kruiden/p10033233,2026-09-03,Verse kruiden
Verspakket,3.99,4.99,20,Lidl Plus (-20%),Member Deal,,https://www.lidl.nl/p/verspakket/p10033119,2026-09-03,Verspakket
Bio kastanjechampignons,1.49,1.99,25,,Standard,250 g,https://www.lidl.nl/p/bio-kastanjechampignons/p10033235,2026-09-03,Bio kastanjechampignons
Rode bessen,2.69,3.49,23,,Standard,250 g,https://www.lidl.nl/p/rode-bessen/p10033123,2026-09-03,Rode bessen
