scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1558,628,bakery
bier-wijn-aperitieven,2991,1942,beer-wine aperitifs
borrel-chips-snacks,2695,1397,drinks-chips-snacks
diepvries,109,31,freezer
drogisterij,2990,2448,drugstore
frisdrank-sappen-water,578,365,soft drinks-juices-water
fruit-verse-sappen,533,276,fresh fruit juices
gezondheid-en-sport,1264,356,health-and-sports
glutenvrij,400,261,gluten-free
groente-aardappelen,1095,318,vegetable potatoes
huishouden,1558,772,households
kaas,1189,702,cheese
koek-snoep-chocolade,794,371,cookie-candy-chocolate
koffie-thee,1156,493,coffee-tea
koken-tafelen-vrije-tijd,1499,739,cooking-dining-free-time
maaltijden-salades,108,83,meals-salads
ontbijtgranen-beleg,39,15,breakfast cereal toppings
pasta-rijst-wereldkeuken,2009,877,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,1371,620,soups-sauces-herbs-oil
tussendoortjes,326,209,snacks
vegetarisch-vegan-en-plantaardig,618,266,vegetarian-vegan-and-plant-based
vis,678,390,fish
vlees,1408,773,meat
vleeswaren,1082,657,cold cuts
zuivel-eieren,1893,872,dairy eggs
