scraped_aisle,items_found,bonus_items,title_eng
bakkerij,75,15,bakery
drogisterij,147,119,drugstore
frisdrank-sappen-water,147,95,soft drinks-juices-water
fruit-verse-sappen,326,185,fresh fruit juices
glutenvrij,36,20,gluten free
groente-aardappelen,72,15,vegetable potatoes
huishouden,39,20,households
kaas,399,229,cheese
koek-snoep-chocolade,146,65,cookie-candy-chocolate
koffie-thee,1155,561,coffee-tea
koken-tafelen-vrije-tijd,795,354,cooking-dining-free-time
maaltijden-salades,36,19,meals-salads
pasta-rijst-wereldkeuken,864,412,pasta-rice-world cuisine
soepen-sauzen-kruiden-olie,75,34,soups-sauces-herbs-oil
vlees,396,251,meat
vleeswaren,504,316,cold cuts
zuivel-eieren,219,81,dairy eggs
