scraped_aisle,items_found,bonus_items,title_eng
bakkerij,1567,507,bakkerij
bier-wijn-aperitieven,2991,1763,bier-wijn-aperitieven
borrel-chips-snacks,2672,1365,borrel-chips-snacks
diepvries,1236,336,diepvries
drogisterij,2991,1989,drogisterij
frisdrank-sappen-water,2021,956,frisdrank-sappen-water
fruit-verse-sappen,566,250,fruit-verse-sappen
gezondheid-en-sport,1323,278,gezondheid-en-sport
glutenvrij,402,174,glutenvrij
groente-aardappelen,1128,305,groente-aardappelen
huishouden,1479,923,huishouden
kaas,1170,654,kaas
koek-snoep-chocolade,2856,981,koek-snoep-chocolade
koffie-thee,1140,460,koffie-thee
koken-tafelen-vrije-tijd,1754,958,koken-tafelen-vrije-tijd
maaltijden-salades,815,496,maaltijden-salades
ontbijtgranen-beleg,2237,1012,ontbijtgranen-beleg
pasta-rijst-wereldkeuken,2012,851,pasta-rijst-wereldkeuken
soepen-sauzen-kruiden-olie,2991,1227,soepen-sauzen-kruiden-olie
tussendoortjes,1267,533,tussendoortjes
vegetarisch-vegan-en-plantaardig,595,291,vegetarisch-vegan-en-plantaardig
vis,643,344,vis
vlees,1392,721,vlees
vleeswaren,1057,631,vleeswaren
zuivel-eieren,2007,912,zuivel-eieren
